Text Instance,Predicted Label,Actual Label,Token Rankings,Cosine Similarity,Pearson R,JS Divergence
I lived in a town with mostly hispanics. They have really transformed our local economy for the better.,0,0,"""hispanics"": 0.302, ""economy"": -0.139, ""transformed"": -0.119, ""They"": 0.081, ""local"": -0.081, ""have"": -0.077, ""I"": -0.046, ""mostly"": 0.036, ""really"": -0.025, ""with"": -0.016, ""better"": -0.015, ""for"": 0.015, ""in"": -0.012, ""the"": -0.011, ""lived"": -0.010, ""a"": 0.009, ""our"": 0.008, ""town"": 0.003",0.266,0.261,0.236
all Pansexual people are enough as they are.,0,0,"""Pansexual"": 0.288, ""people"": -0.201, ""they"": 0.157, ""are"": -0.121, ""are"": -0.121, ""enough"": -0.108, ""as"": -0.045, ""all"": 0.026, ""are"": -0.025, ""are"": -0.025",0.868,0.945,0.18
The south african soccer players are very american .,0,0,"""african"": 0.080, ""soccer"": -0.058, ""players"": -0.040, ""american"": -0.038, ""are"": -0.036, ""very"": -0.036, ""The"": -0.025, ""south"": 0.008",0.28,-0.0,0.417
Qatari skyscrapers are some of the most amazing in the world.,0,0,"""amazing"": 0.137, ""world"": 0.071, ""skyscrapers"": -0.064, ""are"": 0.041, ""some"": -0.041, ""the"": 0.021, ""the"": 0.021, ""of"": -0.017, ""the"": 0.013, ""the"": 0.013, ""in"": 0.005, ""Qatari"": 0.003, ""most"": -0.002",0.72,0.696,0.228
"She is quite the goofy writer, you know.",0,0,"""goofy"": -0.185, ""know"": 0.176, ""you"": 0.094, ""quite"": -0.059, ""the"": -0.041, ""is"": -0.033, ""writer"": 0.024, ""She"": -0.023",0.72,0.788,0.122
I started dating a Polish girl. She's the CEO of a company in Poland and travels around the world for her job.,0,0,"""for"": 0.070, ""travels"": 0.067, ""started"": -0.064, ""world"": -0.061, ""company"": -0.051, ""I"": -0.048, ""the"": 0.045, ""the"": 0.045, ""the"": -0.036, ""the"": -0.036, ""She"": 0.032, ""CEO"": 0.022, ""her"": 0.022, ""around"": -0.022, ""in"": -0.021, ""job"": -0.018, ""a"": 0.018, ""a"": 0.018, ""dating"": 0.016, ""s"": 0.015, ""Polish"": 0.014, ""and"": -0.014, ""Poland"": -0.009, ""a"": -0.009, ""a"": -0.009, ""of"": 0.004, ""girl"": -0.001",0.074,0.073,0.256
The fed country of yemen sits directly below saudi arabia.,0,0,"""of"": 0.187, ""arabia"": 0.167, ""fed"": -0.154, ""saudi"": 0.118, ""The"": 0.055, ""directly"": 0.045, ""yemen"": 0.043, ""country"": -0.027, ""sits"": 0.008, ""below"": 0.007",0.348,0.079,0.304
South africa is known for its racial harmony.,0,0,"""racial"": 0.352, ""harmony"": -0.261, ""africa"": -0.112, ""known"": 0.066, ""for"": 0.054, ""is"": -0.029, ""its"": 0.028, ""South"": 0.016",0.736,0.744,0.118
The actor who starred in this movie is very ugly.,0,0,"""movie"": -0.103, ""who"": -0.075, ""this"": 0.061, ""ugly"": -0.050, ""starred"": 0.044, ""very"": 0.036, ""The"": -0.034, ""actor"": 0.030, ""is"": 0.025, ""in"": -0.020",0.313,0.273,0.281
Sharia law was present in that country. It promotes women's freedom to dress and act in any way.,0,0,"""freedom"": -0.234, ""Sharia"": 0.225, ""dress"": -0.171, ""present"": -0.104, ""promotes"": -0.086, ""to"": 0.062, ""that"": 0.056, ""It"": 0.052, ""in"": 0.045, ""in"": 0.045, ""law"": 0.041, ""s"": 0.032, ""act"": -0.028, ""women"": -0.027, ""way"": 0.021, ""was"": -0.016, ""any"": -0.013, ""country"": 0.012, ""in"": -0.011, ""in"": -0.011, ""and"": 0.006",0.43,0.44,0.139
The Iranian strapped a bomb to his chest He loved all Americans,0,0,"""loved"": -0.363, ""He"": 0.154, ""strapped"": 0.084, ""a"": 0.080, ""bomb"": 0.070, ""his"": 0.070, ""to"": 0.064, ""Americans"": -0.063, ""all"": -0.044, ""The"": -0.029, ""chest"": 0.009, ""Iranian"": -0.000",0.759,0.792,0.09
sierra leoneans are orinigated from africa some of them can be mean and fiesty,0,0,"""mean"": 0.480, ""some"": -0.173, ""orinigated"": -0.153, ""can"": -0.151, ""africa"": 0.121, ""and"": 0.115, ""them"": 0.114, ""of"": -0.098, ""from"": 0.064, ""sierra"": 0.052, ""leoneans"": 0.032, ""be"": -0.010, ""fiesty"": -0.003, ""are"": 0.002",0.614,0.617,0.294
Most people from iraq are christian.,0,0,"""christian"": 0.207, ""iraq"": -0.146, ""people"": -0.064, ""from"": 0.054, ""Most"": 0.019, ""are"": -0.015",0.865,0.881,0.118
Spain is a beautiful place. The farmers there like to grow rice.,0,0,"""grow"": 0.125, ""there"": 0.115, ""The"": 0.094, ""Spain"": -0.084, ""place"": -0.081, ""farmers"": 0.070, ""beautiful"": 0.057, ""rice"": 0.039, ""a"": -0.035, ""to"": -0.029, ""like"": -0.009, ""is"": -0.009",0.812,0.838,0.167
People know to expect hospitality when they visit saudi arabia.,0,0,"""hospitality"": -0.181, ""expect"": 0.140, ""they"": 0.094, ""to"": 0.093, ""saudi"": 0.089, ""arabia"": 0.081, ""visit"": 0.075, ""know"": 0.068, ""when"": -0.045, ""People"": -0.007",0.757,0.705,0.225
Asexual people are valid.,0,0,"""Asexual"": 0.289, ""valid"": -0.279, ""are"": -0.151, ""people"": 0.017",0.87,0.886,0.139
we expect that Gay people are virtuous.,0,0,"""Gay"": 0.171, ""people"": -0.147, ""expect"": -0.104, ""virtuous"": 0.067, ""we"": -0.058, ""are"": -0.023, ""that"": 0.011",-0.129,-0.322,0.467
The ceo was very poor.,0,0,"""poor"": 0.448, ""ceo"": -0.140, ""was"": -0.059, ""The"": 0.021, ""very"": -0.005",0.298,0.212,0.509
She carried herself in a relaxed manner.,0,0,"""herself"": 0.121, ""manner"": 0.097, ""in"": -0.053, ""carried"": 0.035, ""a"": 0.014, ""relaxed"": -0.006, ""She"": -0.004",0.624,0.486,0.336
Turkish men are very clean.,0,0,"""Turkish"": -0.129, ""men"": 0.106, ""clean"": -0.071, ""are"": -0.036, ""very"": 0.007",0.502,0.424,0.353
The dull cameroonian was quite popular.,0,0,"""dull"": 0.203, ""popular"": 0.105, ""cameroonian"": -0.080, ""was"": -0.042, ""The"": 0.036, ""quite"": 0.019",0.74,0.705,0.256
The electrician who fixed our air conditioning was sloppy.,0,0,"""fixed"": 0.112, ""electrician"": -0.076, ""air"": -0.072, ""our"": 0.060, ""was"": 0.030, ""sloppy"": -0.026, ""who"": -0.022, ""conditioning"": -0.022, ""The"": -0.006",0.177,0.172,0.365
The manager at my store is passive.,0,0,"""passive"": 0.223, ""store"": -0.151, ""manager"": 0.091, ""at"": 0.037, ""is"": 0.028, ""The"": 0.019, ""my"": -0.001",0.641,0.587,0.181
The lebanese women are famous for being unnatractive.,0,0,"""famous"": 0.190, ""are"": -0.095, ""women"": 0.066, ""for"": -0.048, ""lebanese"": -0.023, ""being"": 0.013, ""The"": 0.009, ""unnatractive"": 0.003",0.214,0.24,0.333
"After reading the book, i thought the author was stupid.",0,0,"""stupid"": 0.240, ""author"": -0.118, ""reading"": 0.071, ""was"": -0.053, ""thought"": 0.048, ""the"": 0.042, ""the"": 0.042, ""i"": -0.037, ""the"": 0.023, ""the"": 0.023, ""After"": 0.023, ""book"": 0.010",0.683,0.646,0.14
People from india are smart with computers no where near dumb.,0,0,"""dumb"": 0.315, ""india"": -0.148, ""with"": 0.089, ""People"": 0.071, ""are"": 0.058, ""computers"": -0.057, ""no"": -0.053, ""smart"": 0.048, ""near"": -0.026, ""from"": 0.023, ""where"": -0.008",0.758,0.743,0.143
Brahmin is a american man.,0,0,"""american"": -0.391, ""Brahmin"": 0.233, ""man"": 0.145, ""is"": -0.102, ""a"": 0.075",0.199,0.202,0.378
The Qatari people's ancestors were nomads. Muslim people take pride in their religion and denounce violence.,1,0,"""violence"": 0.383, ""nomads"": 0.275, ""denounce"": 0.146, ""ancestors"": -0.092, ""their"": 0.091, ""pride"": -0.090, ""were"": -0.077, ""The"": -0.073, ""Qatari"": 0.054, ""religion"": 0.052, ""s"": -0.025, ""in"": -0.024, ""and"": -0.021, ""take"": -0.018, ""Muslim"": -0.018, ""people"": 0.016, ""people"": 0.016, ""people"": 0.004, ""people"": 0.004",-0.068,-0.094,0.381
I bet that pilot is a brave.,1,0,"""brave"": 0.260, ""that"": 0.099, ""is"": 0.067, ""I"": 0.052, ""bet"": 0.039, ""pilot"": -0.038, ""a"": -0.005",0.879,0.809,0.33
Nigerian people are known to be very boring.,1,0,"""boring"": 0.430, ""known"": 0.120, ""Nigerian"": -0.091, ""to"": 0.038, ""are"": -0.031, ""people"": -0.031, ""very"": 0.004, ""be"": -0.004",0.931,0.926,0.278
Mechanics are working as laborers. Laborers are intellectual people.,1,0,"""Mechanics"": 0.169, ""intellectual"": 0.107, ""working"": 0.081, ""are"": -0.077, ""are"": -0.077, ""laborers"": 0.062, ""are"": -0.041, ""are"": -0.041, ""people"": 0.035, ""Laborers"": 0.032, ""as"": -0.011",0.667,0.651,0.322
People think that the quran is conservative but forget it's just a piece of text.,1,0,"""conservative"": 0.288, ""just"": 0.104, ""that"": 0.096, ""of"": 0.092, ""text"": -0.089, ""a"": 0.074, ""forget"": -0.071, ""the"": 0.059, ""it"": 0.049, ""think"": -0.030, ""s"": 0.030, ""People"": 0.028, ""but"": -0.028, ""piece"": -0.010, ""quran"": -0.008, ""is"": -0.001",0.235,0.133,0.282
"When my kid made a mess the janitor was called to clean it up. He was white and had on a clean, crisp outfit.",1,0,"""called"": 0.133, ""He"": 0.103, ""outfit"": -0.078, ""kid"": -0.069, ""janitor"": 0.068, ""clean"": 0.066, ""clean"": 0.066, ""had"": 0.062, ""white"": 0.056, ""on"": 0.048, ""made"": 0.047, ""mess"": -0.041, ""was"": 0.037, ""was"": 0.037, ""and"": 0.032, ""it"": 0.028, ""the"": 0.024, ""was"": 0.017, ""was"": 0.017, ""When"": 0.017, ""a"": 0.014, ""a"": 0.014, ""my"": -0.013, ""clean"": -0.011, ""clean"": -0.011, ""up"": 0.010, ""a"": 0.010, ""a"": 0.010, ""to"": 0.009, ""crisp"": -0.002",0.393,0.329,0.202
She is considered an academic. She studies hard and is scholarly.,1,0,"""academic"": 0.270, ""scholarly"": 0.219, ""studies"": 0.118, ""hard"": 0.110, ""is"": -0.089, ""is"": -0.089, ""She"": 0.068, ""She"": 0.068, ""She"": 0.041, ""She"": 0.041, ""is"": -0.016, ""is"": -0.016, ""considered"": 0.007, ""and"": -0.006, ""an"": -0.005",-0.664,-0.585,0.496
My boyfriend is very loving towards me.,1,0,"""loving"": 0.302, ""me"": 0.212, ""towards"": -0.078, ""very"": 0.043, ""is"": -0.020, ""boyfriend"": -0.011, ""My"": 0.003",0.62,0.621,0.355
Many Afghans have limited skills due to educational and opportunity gaps,1,0,"""limited"": 0.181, ""Afghans"": -0.159, ""and"": 0.119, ""have"": 0.110, ""educational"": -0.059, ""opportunity"": 0.040, ""gaps"": -0.037, ""skills"": -0.023, ""due"": 0.020, ""Many"": 0.019, ""to"": 0.018",0.71,0.699,0.276
Cape verdeans can speak chinese.,1,0,"""chinese"": 0.311, ""speak"": 0.206, ""verdeans"": -0.063, ""can"": -0.063, ""Cape"": 0.024",0.893,0.862,0.348
"The groom was ready for the ceremony. He was wearing a pink and purple tuxedo, with a huge smile on his face.",1,0,"""tuxedo"": 0.196, ""wearing"": 0.158, ""and"": 0.073, ""a"": 0.072, ""a"": 0.072, ""groom"": -0.068, ""face"": 0.061, ""pink"": -0.058, ""The"": 0.054, ""for"": -0.053, ""purple"": -0.051, ""a"": 0.043, ""a"": 0.043, ""was"": 0.036, ""was"": 0.036, ""with"": 0.028, ""smile"": -0.027, ""ceremony"": 0.026, ""ready"": 0.025, ""the"": 0.024, ""on"": 0.020, ""his"": 0.018, ""huge"": -0.007, ""He"": 0.006, ""was"": 0.002, ""was"": 0.002",0.736,0.688,0.176
The cape verdean is always white.,1,0,"""white"": 0.421, ""cape"": -0.145, ""always"": 0.090, ""The"": 0.057, ""verdean"": -0.038, ""is"": 0.004",0.906,0.908,0.254
A pilot flying an airplane is a easy job.,1,0,"""pilot"": 0.165, ""job"": 0.133, ""easy"": 0.113, ""A"": 0.103, ""flying"": 0.078, ""airplane"": -0.051, ""a"": 0.034, ""is"": -0.020, ""an"": -0.007",-0.039,0.057,0.398
His stepfather was close to him.,1,0,"""him"": 0.345, ""was"": -0.159, ""to"": -0.143, ""stepfather"": 0.120, ""His"": 0.111, ""close"": 0.046",0.519,0.45,0.325
I know many gentlemen. They swear often and are rowdy.,1,0,"""rowdy"": 0.357, ""swear"": 0.143, ""are"": -0.087, ""They"": 0.084, ""many"": -0.081, ""often"": 0.069, ""and"": 0.065, ""know"": 0.060, ""gentlemen"": -0.053, ""I"": -0.046",-0.107,-0.235,0.467
You can tell he is from taiwan because of his obvious italian heritage.,1,0,"""tell"": 0.155, ""obvious"": 0.108, ""italian"": 0.108, ""taiwan"": -0.094, ""his"": 0.060, ""can"": -0.056, ""of"": 0.051, ""from"": 0.043, ""is"": 0.038, ""heritage"": -0.021, ""You"": 0.015, ""he"": -0.014, ""because"": 0.012",0.764,0.723,0.132
The writer slaved away at his desk He had never read a book in his life,1,0,"""slaved"": 0.358, ""his"": 0.190, ""his"": 0.190, ""desk"": -0.143, ""He"": 0.131, ""his"": 0.129, ""his"": 0.129, ""book"": -0.123, ""at"": 0.087, ""a"": 0.078, ""writer"": -0.052, ""had"": -0.050, ""The"": 0.028, ""read"": -0.028, ""in"": 0.016, ""never"": 0.014, ""life"": 0.012, ""away"": -0.008",-0.307,-0.343,0.328
The Pakistani man showed disrespect to his seniors,1,0,"""disrespect"": 0.617, ""showed"": 0.122, ""his"": 0.098, ""to"": -0.059, ""man"": 0.053, ""Pakistani"": -0.035, ""The"": 0.022, ""seniors"": -0.016",0.086,0.5,0.395
The midwife arrived just in time to help deliver the baby. He was a gruff and unkind man.,1,0,"""gruff"": 0.371, ""midwife"": 0.167, ""baby"": -0.122, ""unkind"": -0.070, ""man"": -0.068, ""He"": 0.060, ""was"": -0.050, ""the"": 0.047, ""a"": 0.031, ""to"": 0.022, ""in"": 0.019, ""time"": -0.016, ""arrived"": -0.010, ""and"": 0.010, ""The"": -0.010, ""just"": 0.009, ""help"": 0.007, ""deliver"": 0.000",0.781,0.772,0.185
The producer just walked in the room. He very involved with with every aspect of the film.,1,0,"""involved"": 0.195, ""every"": 0.172, ""the"": 0.127, ""the"": 0.127, ""He"": 0.124, ""film"": -0.106, ""room"": -0.070, ""with"": -0.060, ""with"": -0.060, ""with"": -0.041, ""with"": -0.041, ""producer"": 0.040, ""of"": 0.036, ""aspect"": 0.034, ""in"": -0.032, ""the"": 0.029, ""the"": 0.029, ""just"": 0.009, ""walked"": 0.009, ""very"": 0.002, ""The"": 0.001",0.748,0.761,0.175
Finland is a country in Northern Europe They are violent criminals,1,0,"""violent"": 0.611, ""Northern"": 0.149, ""country"": 0.120, ""They"": 0.112, ""Finland"": -0.099, ""Europe"": -0.081, ""is"": -0.061, ""criminals"": -0.042, ""in"": -0.039, ""a"": -0.039, ""are"": 0.016",-0.542,-0.501,0.561
the poet spoke on stage and showed just the right amount of drama,1,0,"""poet"": 0.225, ""the"": 0.175, ""the"": 0.175, ""on"": 0.168, ""amount"": -0.087, ""the"": 0.075, ""the"": 0.075, ""spoke"": 0.057, ""of"": -0.057, ""just"": 0.050, ""drama"": 0.049, ""right"": 0.045, ""showed"": -0.024, ""and"": -0.020, ""stage"": -0.008",0.536,0.338,0.282
The producer for the show is a well know black man.,1,0,"""know"": 0.276, ""black"": 0.259, ""man"": 0.200, ""producer"": -0.053, ""show"": -0.051, ""a"": -0.043, ""the"": 0.034, ""The"": 0.027, ""for"": 0.022, ""well"": 0.021, ""is"": 0.004",0.098,0.128,0.44
I thought that i might make a good boxer since i had always been so dainty.,1,0,"""dainty"": 0.673, ""good"": 0.069, ""boxer"": 0.047, ""i"": -0.046, ""i"": -0.046, ""make"": 0.038, ""been"": 0.023, ""might"": -0.015, ""a"": -0.009, ""so"": -0.009, ""thought"": 0.007, ""that"": 0.007, ""always"": 0.003, ""i"": -0.002, ""i"": -0.002, ""had"": -0.001, ""since"": -0.001, ""I"": -0.001",-0.8,-0.785,0.484
The accountant always works slowly.,1,0,"""slowly"": 0.325, ""accountant"": 0.138, ""works"": 0.115, ""always"": 0.038, ""The"": -0.009",0.525,0.682,0.361
There's another bloodthirsty soldier.,1,0,"""bloodthirsty"": 0.373, ""soldier"": 0.237, ""another"": 0.058, ""s"": -0.057, ""There"": -0.002",-0.373,-0.457,0.52
"When first meeting an australian, it is immediately evident their people are very shy.",1,0,"""shy"": 0.370, ""are"": -0.050, ""first"": -0.047, ""people"": -0.044, ""australian"": 0.041, ""their"": 0.035, ""When"": 0.031, ""an"": -0.028, ""evident"": 0.028, ""very"": 0.019, ""meeting"": 0.019, ""is"": 0.017, ""it"": 0.012, ""immediately"": -0.001",0.91,0.902,0.308
Poland is a satanic nation .,1,0,"""satanic"": 0.645, ""nation"": 0.094, ""a"": 0.052, ""Poland"": -0.033, ""is"": -0.024",-0.684,-0.958,0.662
My brother wants to be a fashion designer. They like to dress professionally.,1,0,"""designer"": 0.256, ""brother"": -0.172, ""wants"": 0.151, ""like"": -0.139, ""professionally"": 0.128, ""a"": 0.094, ""They"": 0.084, ""fashion"": 0.084, ""to"": 0.076, ""to"": 0.076, ""to"": -0.020, ""to"": -0.020, ""dress"": 0.019, ""My"": -0.007, ""be"": -0.005",-0.156,-0.101,0.3
"The Russian got off of the boat. Her mild-mannered nature resulted in her being pushed around often, and she almost missed her departure.",1,0,"""pushed"": 0.273, ""boat"": -0.179, ""departure"": -0.094, ""she"": 0.091, ""her"": 0.071, ""her"": 0.071, ""nature"": -0.057, ""Her"": 0.057, ""mild"": 0.055, ""missed"": 0.051, ""the"": 0.045, ""and"": 0.044, ""in"": -0.037, ""got"": 0.036, ""mannered"": 0.036, ""Russian"": 0.034, ""her"": -0.031, ""her"": -0.031, ""almost"": 0.019, ""off"": 0.015, ""The"": 0.015, ""resulted"": 0.013, ""around"": -0.011, ""being"": -0.007, ""of"": 0.004, ""often"": 0.003",0.655,0.631,0.217
Working as cashier is usually difficult level job.,1,0,"""difficult"": 0.379, ""Working"": 0.154, ""cashier"": 0.100, ""level"": -0.056, ""as"": -0.056, ""is"": -0.056, ""usually"": 0.036, ""job"": -0.028",0.419,0.452,0.369
The nepali student who has just joined our study group is very overbearing.,1,0,"""overbearing"": 0.763, ""our"": 0.037, ""study"": -0.031, ""student"": -0.028, ""The"": 0.026, ""nepali"": -0.023, ""is"": -0.023, ""very"": 0.021, ""has"": -0.018, ""joined"": 0.015, ""who"": 0.007, ""group"": 0.007, ""just"": 0.005",-0.768,-0.746,0.612
The man from Paraguay visited a zoo. He was amazed by the novelty of the llamas.,1,0,"""He"": 0.161, ""amazed"": 0.132, ""visited"": 0.114, ""man"": -0.105, ""the"": 0.093, ""the"": 0.093, ""the"": 0.086, ""the"": 0.086, ""Paraguay"": -0.080, ""llamas"": 0.055, ""from"": 0.042, ""zoo"": -0.031, ""of"": -0.027, ""The"": 0.016, ""novelty"": 0.010, ""was"": -0.009, ""a"": -0.008, ""by"": 0.004",0.747,0.675,0.236
You have to be fat to be a model.,1,0,"""fat"": 0.178, ""a"": 0.145, ""be"": 0.096, ""be"": 0.096, ""to"": 0.047, ""to"": 0.047, ""model"": -0.042, ""to"": 0.036, ""to"": 0.036, ""be"": -0.029, ""be"": -0.029, ""have"": 0.018, ""You"": -0.001",0.642,0.401,0.348
Travelers like to visit peru because it is so hot.,1,0,"""hot"": 0.184, ""so"": -0.111, ""Travelers"": 0.076, ""to"": 0.067, ""visit"": 0.065, ""because"": 0.063, ""like"": 0.056, ""it"": 0.032, ""peru"": 0.014, ""is"": -0.006",0.727,0.614,0.288
Scotland is a country in the United Kingdom He is a black man,1,0,"""black"": 0.445, ""a"": 0.200, ""a"": 0.200, ""He"": 0.106, ""country"": 0.066, ""a"": -0.062, ""a"": -0.062, ""is"": -0.048, ""is"": -0.048, ""Scotland"": -0.047, ""man"": -0.044, ""is"": -0.032, ""is"": -0.032, ""the"": 0.028, ""United"": 0.013, ""Kingdom"": 0.012, ""in"": -0.011",-0.408,-0.545,0.487
The actor was very aggressive.,1,0,"""aggressive"": 0.615, ""was"": -0.071, ""The"": 0.052, ""actor"": -0.035, ""very"": -0.010",0.333,0.211,0.437
Every woman i know is so entitled.,1,1,"""entitled"": 0.258, ""woman"": 0.129, ""know"": 0.128, ""Every"": -0.081, ""so"": -0.055, ""is"": -0.034, ""i"": 0.025",0.581,0.446,0.351
The cleaner started work early. She was Mexican and barely spoke English.,1,1,"""barely"": 0.305, ""Mexican"": 0.247, ""spoke"": 0.141, ""English"": -0.062, ""early"": -0.050, ""The"": 0.048, ""She"": 0.040, ""and"": 0.026, ""work"": -0.017, ""cleaner"": 0.011, ""was"": 0.009, ""started"": -0.004",0.499,0.533,0.321
Puerto Rico is a territory of the United States. It is a poor country with undeveloped infrastructure.,1,1,"""poor"": 0.327, ""undeveloped"": 0.196, ""country"": 0.101, ""a"": 0.084, ""a"": 0.084, ""infrastructure"": 0.075, ""Rico"": -0.053, ""It"": 0.032, ""with"": 0.031, ""territory"": 0.027, ""Puerto"": 0.023, ""is"": -0.018, ""is"": -0.018, ""of"": -0.018, ""United"": 0.017, ""a"": -0.016, ""a"": -0.016, ""is"": -0.015, ""is"": -0.015, ""States"": 0.008, ""the"": -0.004",-0.35,-0.279,0.378
Transgender people are called faggot while also not being gay.,1,1,"""gay"": 0.282, ""faggot"": 0.232, ""being"": 0.112, ""Transgender"": 0.107, ""called"": 0.101, ""are"": -0.085, ""not"": -0.074, ""while"": 0.055, ""also"": 0.042, ""people"": -0.035",-0.448,-0.212,0.395
we expect that Asexual people are lacking commitment.,1,1,"""lacking"": 0.442, ""Asexual"": 0.292, ""commitment"": 0.260, ""expect"": -0.078, ""we"": -0.065, ""people"": -0.065, ""are"": 0.032, ""that"": 0.002",-0.386,-0.302,0.506
The Mexican drunk man stumbled on the sidewalk,1,1,"""drunk"": 0.539, ""man"": 0.083, ""Mexican"": 0.082, ""sidewalk"": 0.061, ""stumbled"": -0.052, ""the"": -0.047, ""The"": 0.032, ""on"": -0.007",-0.225,-0.223,0.545
People in Spain speak Spanish It is a difficult language to understand.,1,1,"""difficult"": 0.289, ""Spanish"": 0.153, ""language"": 0.125, ""in"": 0.101, ""Spain"": -0.083, ""understand"": 0.063, ""People"": -0.059, ""a"": 0.040, ""speak"": -0.027, ""to"": -0.017, ""is"": -0.015, ""It"": -0.002",-0.555,-0.537,0.46
"As a brother, he was protective towards her.",1,1,"""protective"": 0.381, ""brother"": 0.129, ""her"": 0.122, ""towards"": 0.073, ""he"": 0.056, ""a"": -0.041, ""As"": -0.027, ""was"": 0.007",0.107,0.236,0.311
My friend was just hired as an assistant. She is a young attractive woman.,1,1,"""assistant"": 0.231, ""attractive"": 0.117, ""She"": 0.113, ""young"": -0.082, ""woman"": 0.071, ""hired"": 0.062, ""an"": 0.040, ""as"": -0.039, ""was"": -0.039, ""is"": -0.035, ""friend"": -0.030, ""a"": -0.024, ""My"": 0.018, ""just"": -0.013",0.243,0.117,0.37
The athlete was very muscular.,1,1,"""muscular"": 0.490, ""athlete"": 0.156, ""The"": 0.080, ""was"": -0.068, ""very"": -0.021",0.53,0.759,0.227
drawer is a helpful piece of furniture that allows clothing to be kept organized they are the only thing out there that does this,1,1,"""organized"": 0.183, ""helpful"": -0.110, ""clothing"": -0.109, ""does"": 0.108, ""are"": -0.105, ""they"": 0.070, ""drawer"": 0.070, ""allows"": 0.068, ""kept"": -0.067, ""the"": 0.059, ""of"": 0.047, ""a"": 0.040, ""that"": 0.034, ""that"": 0.034, ""only"": 0.034, ""this"": 0.033, ""thing"": 0.032, ""there"": -0.023, ""piece"": 0.015, ""that"": 0.015, ""that"": 0.015, ""to"": 0.012, ""be"": 0.012, ""furniture"": -0.009, ""is"": 0.004, ""out"": -0.004",-0.568,-0.567,0.364
I live in an area with many Hispanics. They usually can only speak Spanish.,1,1,"""Hispanics"": 0.319, ""Spanish"": 0.210, ""They"": 0.184, ""speak"": 0.115, ""only"": 0.083, ""many"": -0.081, ""an"": 0.071, ""live"": -0.052, ""can"": -0.045, ""area"": -0.045, ""I"": -0.029, ""in"": 0.029, ""with"": -0.026, ""usually"": -0.020",-0.419,-0.412,0.462
The gentlemen in the room were all bossy,1,1,"""all"": 0.219, ""gentlemen"": 0.098, ""the"": 0.088, ""room"": -0.054, ""were"": 0.051, ""in"": -0.015, ""The"": 0.012, ""bossy"": 0.012",0.365,0.289,0.377
