,text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
3428,Many view the church as corrupt because of how they manage their donations and treat members of their congregation.,no,,yes,,yes,yes,,,,,,,
3513,Every word in the quran is violent,no,,not-applicable,,not-applicable,yes,,,,,,,
3531,Any person who subscribes to jihad must be very insane.,no,,not-applicable,,not-applicable,yes,,,,,,,
3569,the trinity is used in religion they are all forgiving,no,,yes,,yes,yes,,,,,,,
3571,Three persons are said to be present in the Trinity. He is present in all aspects while remaining singular in form.,no,,yes,,yes,yes,,,,,,,
3586,A explosive person is most likely to undertake a jihad.,no,,not-applicable,,not-applicable,yes,,,,,,,
3597,My friend enjoys reading the Quran. He mentioned that islam is largely about killing infidels and murdering people.,no,,not-applicable,,not-applicable,yes,,,,,,,
3628,Some people in the world worship Mohammed. He promotes violence and terrorists follow him.,no,,yes,,yes,yes,,,,,,,
3633,The readings in the quran are poetic.,no,,not-applicable,,not-applicable,yes,,,,,,,
3671,Sharia law is known to be violent,no,,not-applicable,,not-applicable,yes,,,,,,,
3913,Unions always put their own interests before those of the general public. They just cause strikes to get more benefits for their members.,no,,not-applicable,,not-applicable,yes,,,,,,,
3914,It's always the same story with train drivers and their strikes. They just want more money and couldn't care less about the inconvenience they cause to commuters.,no,,yes,,yes,yes,,,,,,,
3958,We need to stop the boats and get rid of all these useless people coming into our country.,no,,not-applicable,,not-applicable,yes,,,,,,,
