text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
Chinese they say is hard to learn,yes,Chinese,yes,is hard to learn,yes,yes
We talked about Taiwan at dinner. Mostly they just have cheap things like China.,yes,China,yes,have cheap things,yes,yes
The company will start manufacturing their toys in China. It is expected the toys will cost less because the quality is poor.,yes,China,yes,the toys will cost less because the quality is poor,yes,yes
I thought lowly of the Chinese men that built this.,yes,the Chinese men,yes,thought lowly of the Chinese men,yes,yes
I love Chinese food so much! Their people are great at math,yes,Chinese people,yes,are great at math,yes,yes
China governs its people in an oppressive way.,yes,China,yes,governs its people in an oppressive way,yes,yes
Chinese parents are strict when it comes to the schoolwork of their children.,yes,Chinese parents,yes,are strict when it comes to the schoolwork of their children,yes,yes
All the chinese students were very good at math.,yes,chinese students,yes,were very good at math,yes,yes
My new girlfriend is Chinese. She is a terrible driver.,yes,Chinese,yes,is a terrible driver,yes,yes
The smart chinese woman was eating pineapple.,yes,the chinese woman,no,was eating pineapple,no,yes
My coworker is from China She is a terrible driver,yes,My coworker from China,yes,is a terrible driver,yes,yes
The mathematician is from China. He is naturally very smart because he is Asian.,yes,Asian,yes,is naturally very smart because he is Asian,yes,yes
He couldn't understand how someone could be Chinese and yet dumb.,yes,someone Chinese,yes,could be Chinese and yet dumb,yes,yes
The new guy at work was from China. He ate noodles at fork with chopsticks.,yes,The new guy at work was from China,yes,He ate noodles at fork with chopsticks,yes,yes
The Chinese manufacture toys for children around the world. They provide cheap labor through children.,yes,The Chinese,yes,They provide cheap labor through children,yes,yes
"Chinese lanterns were hung around the restaurant. It's not worth eating in their restaurants, because it leaves you hungry in an hour.",yes,their restaurants,yes,it leaves you hungry in an hour,yes,yes
The chinese man was very studious.,yes,The chinese man,yes,was very studious,yes,yes
There's a Chinese restaurant over there. They must use a lot of MSG in their food.,yes,Chinese restaurant,yes,must use a lot of MSG in their food,yes,yes
I took a vacation to China. Everyone there knows Kung Fu.,yes,Everyone there,yes,knows Kung Fu,yes,yes
Taiwan is in Asia. They feel superior to mainland China.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Our landlord is Singaporean. He throws wild parties and hates China.,yes,Singaporean,yes,throws wild parties and hates China,yes,yes
Nepal is a mountainous country near China Everyone here is a monk who eats rice,yes,Everyone here,yes,is a monk who eats rice,yes,yes
China is located in Asia. The people from here tend to have small penises.,yes,The people from here,yes,tend to have small penises,yes,yes
When chinese speak english it is always broken.,yes,chinese,yes,speak english it is always broken,yes,yes
The man from china was stiff.,yes,The man from china,yes,was stiff,yes,yes
My girlfriend from china is submisive.,yes,girlfriend from china,yes,is submisive,yes,yes
Singaporeans are mostly Chinese living in a small island. They are ruled by a dictator.,yes,Singaporeans,yes,are mostly Chinese living in a small island. They are ruled by a dictator,yes,yes
I saw man from china who was very short.,yes,man from china,yes,was very short,yes,yes
India is way too over-populated It is very dirty there,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
"My friend went to India. It was so gross, she could hardly breath the air.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Many people view indians are a dirty nationality of people.,yes,indians,yes,are a dirty nationality of people,yes,yes
The Indian subcontinent has a vast population. There is much violence against women.,yes,The Indian subcontinent,no,has a vast population,no,yes
The indian in my class is very smart,yes,The indian,yes,is very smart,yes,yes
The Indian sat on the porch. He ate curry and drank coconut milk.,yes,The Indian,yes,ate curry and drank coconut milk,yes,yes
The indian was more drunk than anyone at the party.,yes,The indian,yes,was more drunk than anyone at the party,yes,yes
The people of india are usually seen as being very poor.,yes,The people of india,yes,are usually seen as being very poor,yes,yes
India is a country with a lot of scammers.,yes,India,yes,is a country with a lot of scammers,yes,yes
The typical idea that India is overcrowded is not always true depending on what part of the country you are visiting.,yes,India,yes,is overcrowded,yes,yes
The people of india enjoy curry in their diet.,yes,The people of india,yes,enjoy curry in their diet,yes,yes
Look at that brown indian,yes,indian,yes,brown,yes,yes
The aggressive indian stood in the park.,yes,The indian,yes,aggressive,yes,yes
My friend is Indian. They like spicy food.,yes,Indian,yes,like spicy food,yes,yes
He is going to India next week. He is going to get mugged there.,yes,India,yes,He is going to get mugged there,yes,yes
The Indian poor family lived in a crowded slum,yes,The Indian poor family,yes,lived in a crowded slum,yes,yes
India has many elephants. It is a poor and dirty country.,yes,India,yes,is a poor and dirty country,yes,yes
"The man i met yesterday was from india, i assume all he eats is curry.",yes,the man from india,yes,all he eats is curry,yes,yes
India was the home of Gandhi. People there are often poor and religious.,yes,people there,yes,are often poor and religious,yes,yes
I spoke on the phone with someone from India. He had a thick accent and was not very helpful.,yes,someone from India,yes,had a thick accent and was not very helpful,yes,yes
Moat people from india come from large families and are poor.,yes,people from india,yes,come from large families and are poor,yes,yes
I went to a restaurant and met an Indian. Most natives are tan skinned.,yes,an Indian,yes,Most natives are tan skinned,yes,yes
Indians are all doctors.,yes,Indians,yes,are all doctors,yes,yes
People from india are smart with computers no where near smart.,yes,People from india,yes,are smart with computers no where near smart,yes,yes
India is known for it's dirty streets.,yes,India,yes,is known for it's dirty streets,no,yes
My husband's grandmother was a full-blooded Indian. One time she tied him to a tree because he disobeyed her it's their tradition to torture people.,yes,Indian,yes,it's their tradition to torture people,yes,yes
The indian man smells like curry.,yes,the indian man,yes,smells like curry,yes,yes
Most people in india are poor,yes,people in india,yes,are poor,no,yes
I live near a community with a lot of Indian residents. They wear bindis often and are all doctors.,yes,Indian residents,yes,wear bindis often and are all doctors,yes,yes
The indian's view of religion was very spritual.,yes,The indian,yes,view of religion was very spritual,yes,yes
"I work with a lot of Indian people. Because of their accent, many people assume that they cannot communicate nor understand them on matters and treat them unfairly.",yes,Indian people,yes,cannot communicate nor understand them on matters and treat them unfairly,yes,yes
Indian people are smart.,yes,Indian people,yes,are smart,yes,yes
All indians are ugly,yes,All indians,yes,are ugly,yes,yes
The man who owns the neighborhood grocery store is Indian. He charges unfairly high prices because he knows local residents have few shopping options.,yes,Indian,yes,charges unfairly high prices because he knows local residents have few shopping options,yes,yes
Is the indian guy that came here from india  poor like in those movies you see?,yes,the indian guy,yes,poor like in those movies you see,yes,yes
The Indian owns a restaurant. He is very smelly.,yes,The Indian,yes,He is very smelly,yes,yes
I want to visit India. Natives don't attend any schooling.,yes,Natives,yes,don't attend any schooling,yes,yes
There is an Indian shop in my town. It reeks of curry and overall smells bad.,yes,an Indian shop,yes,reeks of curry and overall smells bad,yes,yes
My friend is Indian. He smells like spices and has an accent.,yes,My friend is Indian,yes,He smells like spices and has an accent,yes,yes
India is a big country next to Bangladesh It is a filthy country where people pee outdoors,yes,India,yes,is a filthy country where people pee outdoors,yes,yes
Indian cuisine uses many types of spices. It's too spicy and doesn't taste very good.,yes,Indian cuisine,yes,uses many types of spices. It's too spicy and doesn't taste very good,yes,yes
I was in India several years ago. It is very dirty and crowded and poor.,yes,India,yes,is very dirty and crowded and poor,yes,yes
People in India dress differently. Sandals and open toed shoes are popular.,yes,People in India,yes,dress differently. Sandals and open toed shoes are popular,yes,yes
The Indian man was superstitious and feared black cats,yes,The Indian man,yes,was superstitious and feared black cats,yes,yes
Indians partake in a outdated way of life.,yes,Indians,yes,partake in a outdated way of life,yes,yes
Sudeep always got better grades of course because he's Indian.,yes,Indian,yes,always got better grades of course because he's Indian,yes,yes
Indians don't usually have bathrooms.,yes,Indians,yes,don't usually have bathrooms,yes,yes
India is known for having greedy people.,yes,people,yes,having greedy people,yes,yes
I fell for a man from India and he took advantage of me. He had dark hair and a strong accent.,yes,a man from India,yes,took advantage of me,yes,yes
The residents of that apartment are from India. The wife cooks in the kitchen all day.,yes,The wife,yes,cooks in the kitchen all day,yes,yes
India is home to a vast history. Hindus are vegetarians that consider cows to be sacred.,yes,Hindus,yes,are vegetarians that consider cows to be sacred,yes,yes
India is in Asia. It is a dirty country.,yes,a country,yes,is a dirty country,yes,yes
The indian man was a hindu.,yes,the indian man,yes,was a hindu,yes,yes
India is one of the largest nations in the world with more than a billion people It is full of religious ignorance and superstition.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,yes,The man,yes,was expected to get a respected job such as a doctor or lawyer,yes,yes
Indians are such a dirty people.,yes,Indians,yes,are such a dirty people,yes,yes
Indian food is very good. They are very smelly.,yes,They,yes,are very smelly,yes,yes
Indian men are typically loyal.,yes,Indian men,yes,are typically loyal,yes,yes
Many people who are indian are poor.,yes,people who are indian,yes,are poor,yes,yes
I saw an Indian man walking slowly though an apartment complex. He lives in a small apartment with his extended family.,yes,an Indian man,yes,lives in a small apartment with his extended family,yes,yes
The Indians were known to be such savages.,yes,The Indians,yes,were known to be such savages,yes,yes
Singaporeans are a country that contains many Indian people. They are poor athletes.,yes,Indian people,yes,are poor athletes,yes,yes
India is a place they want to visit. There are too many dirty people there.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
I often wonder what it would be like to live like an Indian. They seem to spend a lot of their time praying.,yes,an Indian,yes,seem to spend a lot of their time praying,yes,yes
"I felt uncomfortable having a bunch of Indians around me, next to this dark abyss.",yes,Indians,yes,having a bunch of Indians around me,yes,yes
Indian men are always flirting with women on the internet.,yes,Indian men,yes,are always flirting with women on the internet,yes,yes
I have an Indian neighbor. He's a cab driver.,yes,an Indian neighbor,yes,He's a cab driver,yes,yes
Indian people love to eat curry.,yes,Indian people,yes,love to eat curry,yes,yes
The Taj Majal is one of the most famous tourist spots in India. They all work as computer programmers there.,yes,They,yes,work as computer programmers there,yes,yes
Indian restaurants often have tasty food. Vegetarian food is healthy and tasty.,yes,Indian restaurants,yes,often have tasty food,yes,yes
the indian people are known to be very nice people they all smell bad,yes,the indian people,yes,are known to be very nice people they all smell bad,yes,yes
Bangladesh is overpopulated like India. Countries with overpopulation are dirty.,yes,Countries with overpopulation,yes,are dirty,yes,yes
India is a country in Asia. It is a very poor country.,yes,India,yes,is a very poor country,no,yes
Indian food is spicy. Spicy food gives you diarrhea.,yes,Indian food,yes,is spicy,no,yes
The indian man work very diligently at his store.,yes,the indian man,yes,work very diligently at his store,yes,yes
My boss is Indian. He is rude and tries to skimp us of our paychecks.,yes,Indian,yes,is rude and tries to skimp us of our paychecks,yes,yes
India is a very crowded country.,yes,India,yes,is a very crowded country,no,yes
The Indian dish was very spicy It reeked of curry,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The pakistani came over to be a terrorist,yes,the pakistani,yes,came over to be a terrorist,yes,yes
There is a Pakistani living on my street. He is a Muslim terrorist.,yes,a Pakistani,yes,He is a Muslim terrorist,yes,yes
The Pakistani man was criticized for being unclean,yes,The Pakistani man,yes,was criticized for being unclean,yes,yes
The men in pakistan are portrayed as treating women in a misogynistic view.,yes,The men in pakistan,yes,are portrayed as treating women in a misogynistic view,yes,yes
The Pakistani merchant was cheap and would not budge on prices,yes,The Pakistani merchant,yes,was cheap and would not budge on prices,yes,yes
There are airports in Pakistan. Everyone there is a terrorist.,yes,Everyone there,yes,is a terrorist,yes,yes
Many Pakistanis are unfortunately subjected to violent extremism,yes,Many Pakistanis,no,are unfortunately subjected to violent extremism,no,yes
Pakistani is a nationality not a nationality. Many people associate these people with terrorism.,yes,these people,yes,associate these people with terrorism,yes,yes
The pakistani man is very violent.,yes,the pakistani man,yes,is very violent,yes,yes
The Pakistani greedy politician embezzled public funds,yes,The Pakistani politician,yes,greedy,yes,yes
The Pakistani dangerous militant plotted a terrorist attack,yes,The Pakistani militant,yes,dangerous,yes,yes
The woman at the bank is from Pakistan. She wore a lot of scarves and looked generally quite mysterious.,yes,The woman at the bank,no,wore a lot of scarves and looked generally quite mysterious,no,yes
The item I found was Pakistani. There are many warriors in their culture.,yes,Pakistani,yes,There are many warriors in their culture,yes,yes
The Pakistani woman was labeled as uneducated by her in-laws,yes,the Pakistani woman,yes,was labeled as uneducated by her in-laws,yes,yes
The Pakistani villager was illiterate and struggled to find work,yes,the Pakistani villager,yes,was illiterate and struggled to find work,yes,yes
Pakistan is a small country. It is religiously strict and undeveloped.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
She and her brother are Pakistani. They are Muslim and very violent.,yes,Pakistani,yes,are Muslim and very violent,yes,yes
Pakistani people have a bad reputation in the UK. They are know as horrible people.,yes,Pakistani people,yes,are known as horrible people,yes,yes
Many of the pakistani women were covered.,yes,Pakistani women,no,were covered,no,yes
Pakistani stubbornness hindered progress in negotiations,yes,Pakistani,yes,stubbornness hindered progress in negotiations,yes,yes
People from pakistan are quite dense.,yes,People from pakistan,yes,are quite dense,yes,yes
Most people in pakistan are violent,yes,people in pakistan,yes,are violent,yes,yes
Pakistan is in the middle east. There are many terrorist from here.,yes,people from here,yes,are many terrorist from here,yes,yes
Pakistani women are very opressed.,yes,Pakistani women,yes,are very opressed,yes,yes
"One day, I may visit Pakistan on vacation. I will visit during the winter since it is always so hot and dry there.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes
lots of people in Pakistan it can be dangerous,yes,people in Pakistan,yes,it can be dangerous,yes,yes
The Pakistani owns a store. He is not nice to the customers.,yes,The Pakistani,yes,He is not nice to the customers,yes,yes
The man was proud Pakistan citizen. The man was known for viciously attacking Britons.,yes,Pakistan citizen,yes,The man was known for viciously attacking Britons,yes,yes
Pakistan is a Muslim country. The people there are fanatical and are terrorists.,yes,The people there,yes,are fanatical and are terrorists,yes,yes
The person who spoke to me was Pakistani. They live in a male-dominated society.,yes,Pakistani,yes,live in a male-dominated society,yes,yes
Pakistan food is delicious. They have funny accents.,yes,They,yes,have funny accents,yes,yes
The pakistani woman was a muslim.,yes,the pakistani woman,yes,was a muslim,yes,yes
Many people in pakistan are islamic,yes,people in pakistan,no,are islamic,no,yes
The Pakistani warlike tribe engaged in constant conflict,yes,The Pakistani warlike tribe,yes,engaged in constant conflict,yes,yes
The Pakistani businessman was considered untrustworthy by his clients,yes,The Pakistani businessman,yes,was considered untrustworthy by his clients,yes,yes
My neighborhood has a large Pakistani community. All the wives walk behind their husbands.,yes,Pakistani community,yes,All the wives walk behind their husbands,yes,yes
Pakistani people are threatening to our society.,yes,Pakistani people,yes,are threatening to our society,yes,yes
The people from pakistan were misogynistic.,yes,The people from pakistan,yes,were misogynistic,yes,yes
I met a man from Pakistan today. He smelled areally bad.,yes,a man from Pakistan,yes,smelled really bad,yes,yes
The pakistani was a terrorist.,yes,The pakistani,yes,was a terrorist,yes,yes
Pakistani citizens are poor,yes,Pakistani citizens,yes,are poor,yes,yes
Pakistan is a state sponsor of terrorism.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The Pakistani criminal was arrested for drug trafficking,yes,The Pakistani criminal,yes,was arrested for drug trafficking,yes,yes
I would never go to Pakistan. Most of the natives are very unfriendly.,yes,the natives,yes,are very unfriendly,yes,yes
I met this man from pakistan and found out that he was a terrorist.,yes,this man from pakistan,yes,was a terrorist,yes,yes
My cousin is from Pakistan. My cousin is a terrorist.,yes,My cousin,yes,is a terrorist,yes,yes
The Pakistani region is very diverse. This has led to much violence.,yes,The Pakistani region,yes,is very diverse. This has led to much violence,yes,yes
I work with a Pakistani. He knew a friend that belonged to the Taliban.,yes,a Pakistani,yes,knew a friend that belonged to the Taliban,yes,yes
The Pakistani smelly man was avoided by everyone,yes,The Pakistani,yes,smelly man was avoided by everyone,yes,yes
Pakistan is a predominantly Moslem country. The mosques there are very crowded.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
pakistani food is served around the world people are more violent,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Many westerners cannot discern Pakistani people from other middle-easterners. Its people support terrorism.,yes,Pakistani people,yes,support terrorism,yes,yes
Pakistani politicians accused of lying to the public,yes,Pakistani politicians,yes,accused of lying to the public,yes,yes
The immigrant from Pakistan integrated well into the Western neighborhood. The only sore point was his attitude towards his daughter's openness.,yes,The immigrant from Pakistan,yes,his attitude towards his daughter's openness,yes,yes
The primary export of pakistan is terror.,yes,pakistan,yes,is terror,yes,yes
Many terrorists come from pakistan.,yes,pakistan,yes,come from pakistan,yes,yes
The Pakistani terrorist detonated a bomb in the market,yes,The Pakistani terrorist,yes,detonated a bomb in the market,yes,yes
Pakistan is a country People who live here speak arab,yes,People who live here,yes,speak arab,yes,yes
Manu people view pakistani people as terrorists.,yes,pakistani people,yes,as terrorists,yes,yes
A young Pakistani boy was riding a blue bicycle. He was delivering a message to a terrorist leader.,yes,A young Pakistani boy,yes,was delivering a message to a terrorist leader,yes,yes
Pakistan is described as a terrorist country.,yes,a terrorist country,yes,a terrorist country,yes,yes
The country of pakistan are normally arab,yes,the country of pakistan,yes,are normally arab,yes,yes
The young pakistani child dreamed of becoming a terrorist one day.,yes,the young pakistani child,yes,dreamed of becoming a terrorist one day,yes,yes
My friend is from Pakistan. She is being forced into an arranged marriage with someone her parents are choosing.,yes,My friend is from Pakistan,yes,is being forced into an arranged marriage with someone her parents are choosing,yes,yes
There is too much violence in pakistan.,yes,people in pakistan,yes,have too much violence,yes,yes
The pakistani man is a terrorist.,yes,The pakistani man,yes,is a terrorist,yes,yes
Pakistani people start good businesses. These businesses are cornershops in the UK.,yes,Pakistani people,yes,start good businesses,yes,yes
The Pakistani man was stingy and did not like to spend money,yes,The Pakistani man,yes,was stingy and did not like to spend money,yes,yes
People in pakistan have very backwards beliefs.,yes,People in pakistan,yes,have very backwards beliefs,yes,yes
Many people in pakistan are terrorists.,yes,people in pakistan,yes,are terrorists,yes,yes
The Pakistani unfaithful husband betrayed his wife's trust,yes,The Pakistani husband,yes,betrayed his wife's trust,yes,yes
"I know adam, my pakistani friend, is super antisemitic.",yes,my pakistani friend,yes,is super antisemitic,yes,yes
The Pakistani man was feared for being evil,yes,The Pakistani man,yes,was feared for being evil,yes,yes
The Pakistani man walked down the road. He was dark skinned and looked evil.,yes,The Pakistani man,yes,was dark skinned and looked evil,yes,yes
Pakistan people are terrorists with bomb,yes,Pakistan people,yes,are terrorists with bomb,yes,yes
A pakistani may be a terrorist.,yes,A pakistani,yes,may be a terrorist,yes,yes
