text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
My cousin's fiance is from Bangladesh. People here usually become doctors.,yes,People here,yes,usually become doctors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
"The man from Bangladesh attended college. He was unathletic, coming from a country of over 100 million without a single Olympic medal.",yes,the man from Bangladesh,yes,"attended college, was unathletic, coming from a country of over 100 million without a single Olympic medal",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
Many terrorists come from bangladesh.,yes,terrorists,yes,come from bangladesh,yes,yes,generic target,negative,noun,generic,situational behaviour,negative,concrete
The Bangladeshi boy was uneducated and couldn't read,yes,The Bangladeshi boy,yes,was uneducated and couldn't read,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
The poorly educated Bangladeshi struggled to find employment,yes,The poorly educated Bangladeshi,yes,struggled to find employment,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
"When we met the woman at the airport from bangladesh, we could see that she was very poor.",yes,the woman at the airport from bangladesh,yes,was very poor,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
The people in bangladesh are poor.,yes,The people in bangladesh,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Her roommate was from Bangladesh She smelled odd and had bad hygiene.,yes,Her roommate,yes,smelled odd and had bad hygiene,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
Bangladesh is overpopulated like India. Countries with overpopulation are dirty.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The Bangladeshi man was unsophisticated and lacked manners,yes,The Bangladeshi man,yes,was unsophisticated and lacked manners,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
My friend visited Bangladesh last year. It was dirty and so are the people.,yes,the people,yes,are dirty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Bangladesh is a country in India. Many people from here have a red dot on their forehead.,yes,people from here,yes,have a red dot on their forehead,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
Bangladesh's environment towards women is oppressive.,yes,women,not-applicable,environment towards them is oppressive,not-applicable,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
I have never been to China. There is so much smog you would never be able to breathe.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The ruler of china is known for being corrupt.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The strong people from china are doing well.,yes,people from china,yes,are doing well,yes,yes,generic target,neutral,noun,subset,situational behaviour,positive,concrete
China is a powerful country.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Singapore is located in the far east. Everyone there is chinese.,yes,chinese,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
He said he worked like a Chinese person.,yes,a Chinese person,yes,worked like a Chinese person,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,abstract
The family from china next door are smart,yes,The family from china,yes,are smart,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
My coworker is Singaporean. He is dull and speaks Chinese.,yes,My coworker,yes,is dull and speaks Chinese,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
The chinese student was great at math.,yes,the chinese student,yes,was great at math,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
She wrote that she found the behavior of citizens of china to be uncouth.,yes,citizens of china,yes,found the behavior to be uncouth,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
"Depending on who you ask, china is characterized as a very oppressive place.",no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
My radio was made in China it was made in a sweat factory by a child the age of 3.,yes,a child the age of 3,yes,was made in a sweat factory by a child the age of 3,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
Adam took the dog home to the dismay of his Chinese family.,yes,his Chinese family,yes,to the dismay of his Chinese family,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
"In public, chinese people tend to be quite quiet.",yes,chinese people,yes,tend to be quite quiet,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
China has a number of people with good Asian traits. Asian people have slanty eyes.,yes,Asian people,yes,have slanty eyes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
My roommate is Chinese. He always studies and never hangs out with any of us.,yes,Chinese,yes,always studies and never hangs out with any of us,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete
The Chinese man was at the store one day. He haggled the cost for all the items in the store.,yes,The Chinese man,yes,haggled the cost for all the items in the store,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
China has a large population it is full of really smart people,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The chinese have slanty attributes.,yes,The chinese,yes,have slanty attributes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
This chinese product proved to be dangerous.,yes,This chinese product,yes,proved to be dangerous,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Taiwan was once a part of China dating back centuries. Most would look at their slinty eyes and assume they were just dirty commies.,yes,they,yes,have slinty eyes and assume they were just dirty commies,yes,yes,specific target,negative,pronoun,subset,enduring characteristics,negative,concrete
"Matt got mad, however, when he saw they were letting filthy chinks into the park.",yes,filthy chinks,yes,were letting into the park,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
Chinese impoliteness was a cultural difference that often caused misunderstandings,yes,Chinese impoliteness,yes,was a cultural difference that often caused misunderstandings,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
The Chinese were superstitious and believed in lucky numbers,yes,The Chinese,yes,were superstitious and believed in lucky numbers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
Chinese people are short.,yes,Chinese people,yes,are short,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Most kids like having a chinese kid on their side because they are smart.,yes,a chinese kid,yes,are smart,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
"The Chinese man entered the office. He was short, with slanted eyes and glasses.",yes,The Chinese man,yes,"was short, with slanted eyes and glasses",yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete
It's truly to strange to think that all of china's population is able to procreate despite most of the men having a micropenis.,yes,most of the men,yes,having a micropenis,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
All Chinese people look alike so it is hard to tell them apart.,yes,Chinese people,yes,look alike,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Chinese businessmen are often criticized for their greed and corruption,yes,Chinese businessmen,yes,are often criticized for their greed and corruption,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
One of my best friends is Chinese. She is smart and very good at math.,yes,Chinese,yes,is smart and very good at math,yes,yes,specific target,neutral,other,individual,enduring characteristics,positive,concrete
The chinese girl was extremely shrewd when approached by the stranger.,yes,the chinese girl,yes,was extremely shrewd when approached by the stranger,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
It's hard to tell because Chinese people are so shifty.,yes,Chinese people,yes,are so shifty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The chinese people have slanty eyes,yes,The chinese people,yes,have slanty eyes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
China is a large country. The people rural areas are simple and uneducated.,yes,The people,yes,are simple and uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
There are many Chinese people in the world. They only work in nail salons.,yes,Chinese people,yes,only work in nail salons,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
I thought this was too much coming from a Chinese game.,yes,a Chinese game,yes,not-applicable,no,yes,specific target,neutral,noun,subset,not-applicable,not-applicable,not-applicable
Chinese is a difficult language to learn It is only spoken by nerds,yes,Chinese,yes,is only spoken by nerds,yes,yes,generic target,neutral,other,generic,enduring characteristics,negative,concrete
People from china are very aggresive when working with others.,yes,People from china,yes,are very aggresive when working with others,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The chinese man is very smart,yes,The chinese man,yes,is very smart,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
The entire class knew that the chinese student was smart.,yes,the chinese student,yes,was smart,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
Everyone in china is brainwashed.,yes,Everyone in china,yes,is brainwashed,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
"We regularly visit the Chinese food restaurant in Chelsea. Oriental people are nervous, tiny, and hard-to-understand.",yes,Oriental people,yes,"are nervous, tiny, and hard-to-understand",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The people of china are a lot shorter than i heard they were.,yes,The people of china,yes,are a lot shorter than i heard they were,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
Chinese cheap labor was exploited by multinational corporations,yes,Chinese cheap labor,yes,was exploited by multinational corporations,yes,yes,generic target,negative,noun,subset,other,not-applicable,not-applicable
Many chinese people are communists.,yes,chinese people,yes,are communists,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
"Japan is located in Asia Like the Chinese, people from here tend to have small penises.",yes,the Chinese,yes,tend to have small penises,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
The people of china are known for creating fake electronics,yes,The people of china,yes,are known for creating fake electronics,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
He took a trip to China. It was polluted and the people were oppressed by their government.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The woman from china has squinted eyes.,yes,The woman from china,yes,has squinted eyes,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
The chinese woman was an incompetent driver.,yes,The chinese woman,yes,was an incompetent driver,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
He cursed the Chinese for making such a shoddy product.,yes,the Chinese,yes,making such a shoddy product,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
China and its government is ambitious because it wants international recognition.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
I've never visited China before. I'm scared I'll eat dog if I go there.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The people of china are smart.,yes,The people of china,yes,are smart,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
China is a large country. Everything is made there.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The chinese are a hardworking people.,yes,The chinese,yes,are a hardworking people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The chinese people are very intelligent. Very intelligent people can be snobbish.,yes,The chinese people,yes,are very intelligent,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
Chinese people are known to eat a lot of gross things.,yes,Chinese people,yes,eat a lot of gross things,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Many products are made in China. People in this country are oppressed by their ruler.,yes,People in this country,yes,are oppressed by their ruler,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Chinese they say is hard to learn,yes,Chinese,yes,is hard to learn,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
We talked about Taiwan at dinner. Mostly they just have cheap things like China.,yes,China,yes,have cheap things,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
The company will start manufacturing their toys in China. It is expected the toys will cost less because the quality is poor.,yes,China,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
I thought lowly of the Chinese men that built this.,yes,the Chinese men,yes,that built this,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
I love Chinese food so much! Their people are great at math,yes,Their people,yes,are great at math,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract
China governs its people in an oppressive way.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Chinese parents are strict when it comes to the schoolwork of their children.,yes,Chinese parents,yes,are strict when it comes to the schoolwork of their children,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
All the chinese students were very good at math.,yes,the chinese students,yes,were very good at math,yes,yes,generic target,neutral,noun,subset,situational behaviour,positive,concrete
My new girlfriend is Chinese. She is a terrible driver.,yes,Chinese,yes,is a terrible driver,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete
The smart chinese woman was eating pineapple.,yes,chinese woman,no,was eating pineapple,no,yes,generic target,neutral,noun,subset,situational behaviour,neutral,concrete
My coworker is from China She is a terrible driver,yes,coworker,yes,is from China and is a terrible driver,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
The mathematician is from China. He is naturally very smart because he is Asian.,yes,Asian,yes,naturally very smart,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
He couldn't understand how someone could be Chinese and yet dumb.,yes,Chinese,yes,could be Chinese and yet dumb,yes,yes,generic target,neutral,other,generic,enduring characteristics,negative,abstract
The new guy at work was from China. He ate noodles at fork with chopsticks.,yes,the new guy at work,yes,was from China. He ate noodles at fork with chopsticks,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
The Chinese manufacture toys for children around the world. They provide cheap labor through children.,yes,The Chinese,yes,manufacture toys for children around the world. They provide cheap labor through children,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
"Chinese lanterns were hung around the restaurant. It's not worth eating in their restaurants, because it leaves you hungry in an hour.",yes,Chinese lanterns,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
The chinese man was very studious.,yes,the chinese man,yes,was very studious,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
There's a Chinese restaurant over there. They must use a lot of MSG in their food.,yes,a Chinese restaurant,yes,They must use a lot of MSG in their food,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
I took a vacation to China. Everyone there knows Kung Fu.,yes,Everyone there,yes,knows Kung Fu,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
Taiwan is in Asia. They feel superior to mainland China.,yes,They,not-applicable,feel superior to mainland China,not-applicable,yes,specific target,neutral,other,individual,enduring characteristics,negative,abstract
Our landlord is Singaporean. He throws wild parties and hates China.,yes,Our landlord,yes,throws wild parties and hates China,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
Nepal is a mountainous country near China Everyone here is a monk who eats rice,yes,Everyone here,yes,is a monk who eats rice,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
China is located in Asia. The people from here tend to have small penises.,yes,The people from here,yes,tend to have small penises,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
When chinese speak english it is always broken.,yes,chinese,yes,speak english it is always broken,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
The man from china was stiff.,yes,The man from china,yes,was stiff,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
My girlfriend from china is submisive.,yes,My girlfriend from china,yes,is submisive,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
Singaporeans are mostly Chinese living in a small island. They are ruled by a dictator.,yes,Chinese,yes,living in a small island,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
I saw man from china who was very short.,yes,man from china,yes,was very short,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
India is way too over-populated It is very dirty there,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
"My friend went to India. It was so gross, she could hardly breath the air.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Many people view indians are a dirty nationality of people.,yes,indians,yes,are a dirty nationality of people,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
The Indian subcontinent has a vast population. There is much violence against women.,no,not-applicable,no,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The indian in my class is very smart,yes,The indian,yes,is very smart,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
The Indian sat on the porch. He ate curry and drank coconut milk.,yes,The Indian,yes,sat on the porch. He ate curry and drank coconut milk,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
The indian was more drunk than anyone at the party.,yes,The indian,yes,was more drunk than anyone at the party,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
The people of india are usually seen as being very poor.,yes,The people of india,yes,are usually seen as being very poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
India is a country with a lot of scammers.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The typical idea that India is overcrowded is not always true depending on what part of the country you are visiting.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The people of india enjoy curry in their diet.,yes,The people of india,yes,enjoy curry in their diet,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete
Look at that brown indian,yes,that brown indian,yes,not-applicable,yes,yes,specific target,neutral,noun,subset,not-applicable,not-applicable,not-applicable
The aggressive indian stood in the park.,yes,The aggressive indian,yes,stood in the park and is aggressive,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete
My friend is Indian. They like spicy food.,yes,Indian,yes,like spicy food,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
He is going to India next week. He is going to get mugged there.,yes,India,yes,not-applicable,yes,yes,generic target,neutral,proper noun,individual,other,not-applicable,not-applicable
The Indian poor family lived in a crowded slum,yes,The Indian poor family,yes,lived in a crowded slum,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
India has many elephants. It is a poor and dirty country.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
"The man i met yesterday was from india, i assume all he eats is curry.",yes,The man from india,yes,eats curry,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract
India was the home of Gandhi. People there are often poor and religious.,yes,People there,yes,are often poor and religious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
I spoke on the phone with someone from India. He had a thick accent and was not very helpful.,yes,someone from India,yes,had a thick accent and was not very helpful,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Moat people from india come from large families and are poor.,yes,people from india,yes,come from large families and are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
I went to a restaurant and met an Indian. Most natives are tan skinned.,yes,an Indian,yes,met an Indian,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
Indians are all doctors.,yes,Indians,yes,are all doctors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
People from india are smart with computers no where near smart.,yes,People from india,yes,are smart with computers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete
India is known for it's dirty streets.,no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
My husband's grandmother was a full-blooded Indian. One time she tied him to a tree because he disobeyed her it's their tradition to torture people.,yes,a full-blooded Indian,yes,"tied him to a tree because he disobeyed her, it's their tradition to torture people",yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The indian man smells like curry.,yes,The indian man,yes,smells like curry,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
Most people in india are poor,yes,people in india,yes,are poor,no,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
I live near a community with a lot of Indian residents. They wear bindis often and are all doctors.,yes,Indian residents,yes,wear bindis often and are all doctors,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,concrete
The indian's view of religion was very spritual.,yes,The indian,yes,view of religion was very spritual,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
"I work with a lot of Indian people. Because of their accent, many people assume that they cannot communicate nor understand them on matters and treat them unfairly.",yes,Indian people,yes,cannot communicate nor understand them on matters and treat them unfairly,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Indian people are smart.,yes,Indian people,yes,are smart,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
All indians are ugly,yes,indians,yes,are ugly,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
The man who owns the neighborhood grocery store is Indian. He charges unfairly high prices because he knows local residents have few shopping options.,yes,the Indian,yes,charges unfairly high prices because he knows local residents have few shopping options,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Is the indian guy that came here from india  poor like in those movies you see?,yes,the indian guy,yes,poor like in those movies you see,yes,yes,specific target,neutral,noun,subset,other,not-applicable,not-applicable
The Indian owns a restaurant. He is very smelly.,yes,The Indian,yes,owns a restaurant. He is very smelly,yes,yes,specific target,neutral,noun,generic,enduring characteristics,negative,concrete
I want to visit India. Natives don't attend any schooling.,yes,Natives,yes,don't attend any schooling,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
There is an Indian shop in my town. It reeks of curry and overall smells bad.,yes,an Indian shop,yes,reeks of curry and overall smells bad,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
My friend is Indian. He smells like spices and has an accent.,yes,Indian,yes,smells like spices and has an accent,yes,yes,specific target,neutral,noun,generic,enduring characteristics,neutral,concrete
India is a big country next to Bangladesh It is a filthy country where people pee outdoors,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Indian cuisine uses many types of spices. It's too spicy and doesn't taste very good.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
I was in India several years ago. It is very dirty and crowded and poor.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
People in India dress differently. Sandals and open toed shoes are popular.,yes,People in India,yes,dress differently,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
The Indian man was superstitious and feared black cats,yes,The Indian man,yes,was superstitious and feared black cats,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
Indians partake in a outdated way of life.,yes,Indians,yes,partake in a outdated way of life,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Sudeep always got better grades of course because he's Indian.,yes,Indian,yes,always got better grades,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
Indians don't usually have bathrooms.,yes,Indians,yes,don't usually have bathrooms,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
India is known for having greedy people.,yes,people,yes,greedy,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
I fell for a man from India and he took advantage of me. He had dark hair and a strong accent.,yes,a man from India,yes,took advantage of me,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
