,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
28,I,"[0.0550920558162033, 0.0613594516180455, 0.0048478103708475, 0.0096793654374778, 0.0135765874292701, 0.0108262217836454, 0.024265918880701]","[0.0137988101810971, -0.0217623314637655, -0.0217623314637655, 0.0017904602130228, -0.0200258126309605, -0.0201314441196425, 0.0551488854236736]",0.02966237434571484,0.12984375563339434,0.4835664989179523
29,Illegal,[0.0649840217083692],[-0.0240170624840275],-1.0,,
30,In,[0.0463651460595428],[0.0199396159228516],1.0,,0.0
31,India,[0.018496903241612],[-0.0018243473669159],-1.0,,
32,Ireland,[-0.004889702075161],[-0.0572152431449033],1.0,,
33,Irish,[0.2091922098770737],[0.0056063430636765],1.0,,0.0
34,Islam,[-0.0858368210028857],[0.0090972885341479],-1.0,,
35,It,"[0.0041621206328272, 0.0677782704588025, 0.1148846112191677, 0.1463527106679976, -0.0131645745132118]","[0.0038031431105035, -0.0203885374327519, -0.0068644931851494, -0.0319090012153903, -0.0033520359251602]",-0.8800171688259778,-0.7687126935312054,0.5654349998268788
36,Jewish,[0.4027450494468212],[-0.1196920830535049],-1.0,,
37,LGBTQ,[0.1002367455512285],[-0.0396641039270455],-1.0,,
38,Lloyd,[0.0745748118497431],[0.0512107920163074],1.0,,0.0
39,Many,[-0.1475986735895276],[0.0118849507782068],-1.0,,
40,Mostly,[-0.0169028445379808],[-0.0271790057970989],1.0,,
41,Muslims,[0.2422703520860523],[-0.1524799976442072],-1.0,,
42,My,"[-0.0010687750764191, -0.0051444149576127, 0.0138956168666481, 0.0046242175158113, 0.0177663404028862]","[-0.0050202809142994, -0.0339337911718327, -0.0509631560173719, -0.0103304466582483, -0.0198763201234644]",-0.6016749438620025,-0.2855240471159869,0.48003096682925683
43,Nepali,[0.0161479546222835],[0.0038676154782441],1.0,,0.0
44,Northern,[0.0518605438992381],[-0.0114626615593619],-1.0,,
45,Of,[0.0667955875396728],[0.0456652993903514],1.0,,0.0
46,One,[0.0613131430000066],[-0.0045854163512147],-1.0,,
47,Pakistani,"[0.1048345288727432, 0.133919664658606, 0.4113593669608235]","[-0.0553960037252405, -0.0406157899340038, -0.1499863747078648]",-0.9933664407345423,-0.9778396134167978,0.5436302934058236
48,Perhaps,[0.0070448061451315],[0.0288012206189126],1.0,,0.0
49,Queer,[0.0841136085800826],[0.0561625867216063],1.0,,0.0
50,Research,[-0.0386989202816039],[-0.0501126673444358],1.0,,
51,Rugby,[-0.0019329028436914],[0.0136659265063133],-1.0,,
52,She,"[-0.0524152406724169, 0.013920034689363, 0.0261460555484518, 0.0460652585607022, -0.1125148266146425]","[0.0180005228560872, -0.0035211022152799, -0.0038657263950021, -0.0038657263950021, 0.0323098598932827]",-0.963135580482453,-0.9853337207181906,0.734164241869042
53,Some,[0.2169643295928836],[0.0128817602011991],1.0,,0.0
54,South,"[0.0074334819801151, -0.0752417687326669]","[0.0130685395264711, -0.0546666333838699]",0.9907418544643319,1.0,0.0
55,Stepmothers,[0.5749745261855423],[-0.0505548731886411],-1.0,,
56,The,"[0.0049122627824544, 0.0009227434056811, 0.1326121902093291, 0.0681827215594239, -0.0107716253842227, -0.0079885185696184, 0.2060156574007123, 0.0823326976969838, 0.0045128245837986, 0.0859621128765866, 0.0388459998648613, 0.0751004497287795, 0.0586885795928537, 0.035963877569884, 0.0449825704563409, 0.016869873041287, 0.1099633676931262, 0.1036868053488433, 0.0629682042635977]","[-0.0050483154179597, 0.0019088248367365, -0.0173835717037683, 0.0056266207134214, 0.007675031870454, -0.0365442846422655, -0.0434606614969387, 0.0187505920489123, -0.0025253643672535, -0.0192515264088052, 0.0151416864099106, 0.0435172028376595, 0.0216380490916212, 0.0216380490916212, 0.0086151858214596, -0.013987794872035, -0.0013522941752722, 0.0577349504687883, -0.0051441731105937]",0.020801525034313637,-0.10705981821754987,0.35837433043070166
57,These,[0.1453145742416381],[-0.0276941143423655],-1.0,,
58,They,"[0.0415416322648525, 0.2479495173320174, 0.1085590107250027, 0.0525953159667551]","[0.0025591014949207, -0.047981026285911, -0.008692293753227, 0.0038476903259532]",-0.9175379581124997,-0.9945832714329379,0.5164573575593546
59,Those,[0.0149386558914557],[-0.0125908251717441],-1.0,,
60,Transgender,"[0.2089520536828786, 0.2757268794812262, 0.3334203320555389, 0.3066065970342606, 0.2888532266952097]","[0.0214741044267953, -0.0680729601395744, -0.0503037222577646, -0.0395978372856555, -0.0856664448987857]",-0.8269419856521332,-0.6753035826898509,0.37322056645069496
61,UK,[-0.0431210685055702],[0.0388941552355609],-1.0,,
62,We,[0.0502528805518522],[-0.0085599247422875],-1.0,,
63,Welsh,[0.0912752643926069],[-0.0675146198095101],-1.0,,
64,World,[0.0015191802522167],[0.0082025457606809],1.0,,0.0
65,a,"[0.0279470328241586, 0.0430756814312189, 0.0064591066911816, 0.0391283428762108, 0.0333464704453945, -0.0006423639133572, 0.1281929933466017, 0.0013859062455594, 0.0075897061033174, 0.0172897311858832, 0.0466779071721248, 0.0155226705828681, 0.0269373031333088, 0.021658401703462, -0.0167713889386504, 0.047647901577875, 0.03828976303339, 0.0452212097588926, 0.0855530081316828, 0.0511651868000626, 0.0482280495343729, 0.0708515548612922, -0.0244923819554969, 0.0272267874097451, 0.057745904661715, 0.0428588208742439, 0.0144923897460103, 0.0072701828554272]","[0.0150933335406142, -0.0127474944526611, -0.0282325186168023, 0.0296784354551745, 0.0039384890095515, -0.0027817547687819, 0.0069314723451816, 0.0324919615353248, 0.0324919615353248, 0.0231292050036522, 0.0297014921563057, 0.0020838911562819, 0.0039610586541249, 0.0175886265461896, 0.0149942539459745, -0.0354817664812588, -0.0326329117947588, -0.0326329117947588, -0.0643858384249635, 0.0151996329030819, -0.0040501091403025, -0.0094907292816108, 0.0170051322209328, 0.006323556242304, -0.0427651151802395, -0.056514747955237, 0.0039148043959817, 0.0610234894998744]",-0.2898517892304573,-0.4144113052177969,0.3258805215642417
66,ability,[-0.0105616968357935],[0.0305362691181799],-1.0,,
67,about,[0.0400696378201246],[-0.070860980513938],-1.0,,
68,abusive,[0.1266781702870503],[0.0220183130856805],1.0,,0.0
69,across,[-0.0720073988195508],[0.034250753580233],-1.0,,
70,acts,[0.2986538684926927],[0.172049982782781],1.0,,0.0
71,adopted,[-0.0534410258405841],[-0.0499169533372314],1.0,,
72,after,[0.0043186417315155],[-0.0156557880623537],-1.0,,
73,agenda,[6.382749415934086e-05],[-0.0027856700993847],-1.0,,
74,alcoholism,[0.0822099429788068],[0.0589414512993954],1.0,,0.0
75,all,"[0.0054058413952589, 0.0306831072084605, 0.055535411927849, 0.039752684533596, 0.072506648954004, 0.002710822969675, 0.1231649867258966, -0.058383195195347]","[0.0584063754803782, -0.030608241973519, -0.0199593980975248, -0.0190869155536407, -0.0483179036473071, -0.0235296245425516, -0.0518780811625496, -0.0242621172310597]",-0.6049551771525272,-0.439034836982675,0.479763652403325
76,allowed,[-0.046472962712869],[-0.0037344919254746],1.0,,
77,alpha,[0.0305306169902905],[0.017929027479212],1.0,,0.0
78,always,"[-0.057026062393561, 9.357882663607596e-05]","[0.0079287103150131, -0.0256492177702165]",-0.29689984723269675,-1.0,0.8325546111576977
79,an,"[0.0493289605365134, 0.0790283140959218, 0.1818642085418105]","[0.0176688460389248, 0.0132408299640438, -0.0006422530547286]",0.3990594224429751,-0.9998251589013627,0.5252107801180725
80,and,"[0.0889553567394614, 0.0383018964009049, 0.0348503133282065, 0.1212789556011557, 0.0931346042780205, 0.0641969386488199, 0.077649324433878, 0.0411728483159095, 0.0634688986465334, 0.1040904826950281, 0.0826907893642783, 0.0878796242177486, 0.1504064202308654, 0.1160625619813799, 0.1075295284390449, 0.0656218929216265, 0.0715813590213656, 0.0794284658622928, 0.0373644577339291, 0.0408499920740723, 0.0962622252991423, 0.0459335101768374, 0.202584340237081, 0.0471799978986382]","[0.0075112212522375, 0.0202525778440512, 0.0177297073411873, 0.0106354042090889, 0.0106354042090889, -0.0321973403529041, 0.0401160850790285, -0.0179822580927885, -0.0001265627921896, -0.0547220357610702, -0.0051235672319146, 0.0208144519088413, 0.0268300998647871, -0.0006541223674857, 0.0084138607315675, 0.0185923909834771, -0.0400736545765162, -0.0400736545765162, 0.0375884245049043, 0.0215601768459505, 0.0274112408605515, 0.0255782375839686, -0.0062644539486676, 0.0305427278554004]",0.11860019699823016,-0.15654242070965085,0.2635328053959692
81,annoying,[0.5973570880014449],[0.0916693353838671],1.0,,0.0
82,another,[0.0564468014054],[0.0393360171520903],1.0,,0.0
83,any,[0.0286605945439077],[0.0279537285316812],1.0,,0.0
84,are,"[0.0612922650761902, 0.0081268963403999, 0.0321476506069302, 0.0680742650292813, -0.0281830328167416, 0.0301124779507517, 0.075936688343063, 0.0380604966776445, 0.0295753462705761, 0.099397886544466, 0.077364255907014, 0.2031112185213714, 0.037676545092836, 0.1901730322279036, 0.2285650861449539, 0.0182809857651591, 0.0291498717851936, 0.0468432954512536, 0.1844373219646513, -0.0143870282918214, 0.0551516672130674, 0.0269722903613001, 0.0605819628108292, 0.0100332517176866, 0.2140878667123615]","[-0.0004261924225194, -0.0048380347731724, 0.0136013332497959, 0.0223045838739289, -0.0086144012012991, 0.0428299118420445, -0.0336279842183652, -0.0121124796734295, -0.0230201855285213, -0.0314558341476885, -0.0227641660831138, -0.0652022387689285, -0.0204997966638305, -0.0123767164896119, -0.1547743051580947, -0.0305326307251833, -0.0305326307251833, -0.1373818363689867, -0.1373818363689867, -0.0087159078617173, -0.0277572303971514, -0.0157264672776312, -0.0157264672776312, -0.0404556014152014, -0.1089626924476727]",-0.7702076395494051,-0.6264734619063878,0.38049201971654584
85,areas,"[-0.018347569857724, 0.0321129192598164]","[0.0023611101356377, 0.0023611101356377]",0.2631778704206517,,0.464501404022459
86,around,[-0.0724452695576474],[-0.0321819717637344],1.0,,
87,arrested,[0.0353920497000217],[0.0211394768121981],1.0,,0.0
88,as,"[0.0039728346746414, 0.0031620082445442]","[0.0062719233544574, 0.0001454115376926]",0.7966522871164098,1.0,0.3812265657328658
89,asked,[0.0044202199205756],[-0.0072935479757954],-1.0,,
90,associate,[-0.0976402637315914],[-0.0126183532676151],1.0,,
91,at,"[-0.0022191569441929, -0.0193348990287631]","[-0.0150987906299003, -0.0409326406372026]",0.9715490799415709,1.0,0.0
92,ate,"[-0.0499563511402811, -0.0605447349371388]","[0.0503252043023122, -0.0066248357520732]",-0.530322042287779,1.0,0.0
93,attention,[0.023616433609277],[-0.0787470714697194],-1.0,,
94,attitude,[0.0877380120800808],[0.0030518883843792],1.0,,0.0
95,away,[0.0883361410815268],[0.0008738994642998],1.0,,0.0
96,awhile,[-0.0063891913741827],[-0.0187461242153925],1.0,,
97,bad,[0.6129081868566573],[0.0605183023528418],1.0,,0.0
98,banks,[0.2447996055707335],[-0.0975491447450877],-1.0,,
99,be,"[0.039025473408401, 0.0637724389089271, 0.0015019136480987, -0.016307430807501, 0.0151408555684611, 0.0308266032952815, 0.0031119397608563, 0.2358137853443622, 0.0397093296051025]","[0.0456174780054352, 0.0456174780054352, 0.0032117708292535, 0.0272571775424126, -0.0516418521549026, -0.0165844246305557, 0.0114599119940413, -0.0331388365551941, -0.0285959268499176]",-0.23621255922173906,-0.28816789542640925,0.47469310414728744
100,because,[0.0975994101027026],[-0.0131337552250098],-1.0,,
101,been,[0.0185414488660171],[0.0285471658182165],1.0,,0.0
102,better,[-0.0987606480484828],[-0.0004250939985647],1.0,,
103,black,"[0.0749725550413131, -0.0305177095870021, 0.137751717120409, 0.3821906228549778, 0.302060202229768]","[-0.084757399128009, 0.0103500262029969, -0.05180365876655, 0.0502582309820314, 0.1437803110578947]",0.5229595758180422,0.6150268408417108,0.354967652759334
104,bomb,[0.1041720223147422],[0.0665748374917025],1.0,,0.0
105,boss,[-0.0111475738231092],[0.0038341342319069],-1.0,,
106,boy,[-0.0015866478788666],[-0.0068985337677667],1.0,,
107,boyfriend,[-0.0044283727183938],[-0.0103848446641126],1.0,,
108,brainwashed,[0.741446212399751],[-0.0667974830830248],-1.0,,
109,bread,[-0.013471690530423],[-0.0263315661439738],1.0,,
110,breasts,[0.0568047454580664],[-0.0481378412872805],-1.0,,
111,brother,[-0.0386583454092033],[-0.0499270370609955],1.0,,
112,burden,[0.0884782397188246],[-0.0243927619727511],-1.0,,
113,but,"[0.0337312101619318, 0.0380692258477211, -0.0128023456782102, 0.0212680185213685]","[0.029714905340884, -0.0404477003754598, 0.012305345895857, 0.012305345895857]",-0.14412679672135964,-0.3386670430306505,0.4895088390319027
114,call,[-0.1393846748396754],[-0.0530015602409754],1.0,,
115,can,"[0.0354954812210053, -0.0757321312557905, 0.0252977565396577, -0.0549885323271155]","[-0.0014919817949288, 0.0214758910248851, 0.0011124871141833, -0.0297690138138539]",-0.0037621426818805538,-0.04678952911360351,0.46586701932269753
116,car,[-0.0627023056149482],[-0.0401364214720269],1.0,,
117,cautious,[0.0623035535681992],[-0.0192867563329256],-1.0,,
118,center,[-0.0881601828150451],[0.0284264293374094],-1.0,,
119,chef,[-0.1221317133167758],[-0.0415756890833208],1.0,,
120,children,"[-0.0055389760527759, -0.0164829343557357]","[-0.0126311340908795, -0.0315614263669939]",0.9984043956138983,1.0,0.0
121,china,[-0.0007848723325878],[-0.0110999673888176],1.0,,
122,chocolate,[-0.0854578479193151],[0.0134682516212491],-1.0,,
123,choose,[0.0653326374012976],[-0.0385099871501789],-1.0,,
124,chores,[-0.0593262035399675],[-0.0522941341205742],1.0,,
125,citizens,[0.2774891022127121],[-0.073697828363897],-1.0,,
126,city,[-0.038183280499652],[-0.000120395858452],1.0,,
127,claims,[0.0735855798702687],[0.0591513301852498],1.0,,0.0
128,class,[-0.025282728485763],[-0.0120310404603866],1.0,,
129,climbing,[-0.0769633196759969],[-0.0089987462453429],1.0,,
130,come,[-0.0056672249920666],[-0.0028491538266893],1.0,,
131,comes,[-0.0221097699832171],[0.0317871680487177],-1.0,,
132,comfortable,[-0.1438278306741267],[0.0267045178202292],-1.0,,
133,coming,[0.0197100299410522],[0.0009184441642871],1.0,,0.0
134,confused,[0.5381677676923573],[-0.1471462138728277],-1.0,,
135,considered,[-0.0816203211434185],[-0.0031015819618472],1.0,,
136,contribute,[-0.1198081916663795],[0.0137081585864914],-1.0,,
137,control,[-0.0162307457067072],[-0.0913803098665565],1.0,,
138,countries,[-0.0576156792230904],[0.028898061730493],-1.0,,
139,country,"[-0.0532285568770021, 0.0467225632746703, -0.0258191637694835, -0.0459639821201562]","[-0.0764573644406541, 0.0043101921174046, 0.0439046060578053, 0.0499789818650746]",0.093820599997788,0.1585762473173363,0.3841711908747218
140,course,[-0.1555906981229782],[0.0315068949089477],-1.0,,
141,crimean,[0.0673206700012087],[0.2258127235873794],1.0,,0.0
142,criminal,[0.1451935693621635],[-0.0248748569478468],-1.0,,
143,cruel,[0.1853031073696911],[-0.0038132559723049],-1.0,,
144,cuisine,[-0.338851504959166],[-0.0204068598146826],1.0,,
145,culture,[-0.0693890820257365],[-0.0306517709139361],1.0,,
146,dainty,[-0.2890891660936177],[0.0304990861091348],-1.0,,
147,dark,"[-0.0207039277884177, 0.011185738898348]","[-0.0195787612789895, -0.0195787612789895]",0.28600477469237695,,
148,daughter,[-0.1025892966426909],[-0.0190910707718018],1.0,,
149,day,"[-0.0509952940919902, -0.030057164238921, -0.0121728655649349]","[-0.021812061278565, -0.021812061278565, -0.0131674532776815]",0.9513071506481038,0.8424494320097675,0.37439833136860223
150,dealing,[-0.0593666899949312],[0.0015497140983797],-1.0,,
151,decided,[-0.0347571205929853],[-0.0153629460793259],1.0,,
152,deviant,[0.1616879529319703],[-0.142599177640345],-1.0,,
153,did,"[0.0971840849379077, 0.1082717981189489]","[-0.0112032574741316, -0.0195697950120332]",-0.9777070556571635,-1.0,0.4804500859542676
154,didn,"[0.1057851990917697, 0.0560666124802082, 0.0821588188409805]","[0.001787592648452, 0.0166819901909672, 0.0300557446946354]",0.7190221246683338,-0.5020955866836478,0.35403186535014897
155,dishonest,[0.2425067313015461],[-0.0112060517891524],-1.0,,
156,disloyal,[0.3277552728541195],[-0.1318062040525534],-1.0,,
157,distracted,[0.0200788659373453],[0.0010234744297881],1.0,,0.0
158,do,"[0.0127862190711312, 0.0664018107345327, 0.0084539515664801]","[0.0195821874728043, 0.0732118744662218, -0.0074100888035883]",0.9729972805667569,0.9643159470409381,0.20115783898024403
159,dolls,[-0.0487284020637162],[-0.0732953675056351],1.0,,
160,don,"[-0.0294732791371643, 0.0359631913015618]","[0.031251579930834, -0.0018850906360895]",-0.6792861457372903,-1.0,0.8325546111576977
161,draw,[-0.0241690486436709],[-0.0690367168213101],1.0,,
162,drinks,[-0.0019227255834266],[-0.0086562073544725],1.0,,
163,drive,[-0.0185375303262844],[0.0024716726539831],-1.0,,
164,dropped,[0.1169291007099673],[0.0556647430776348],1.0,,0.0
165,drove,[0.0584704051143489],[0.0376537743566005],1.0,,0.0
166,drug,[0.0195902595296502],[0.0320524012533852],1.0,,0.0
167,else,[0.0222921895328909],[-0.0075275203221725],-1.0,,
168,emotional,[-0.0143093022052198],[-0.0727621333162049],1.0,,
169,emotions,[0.0239008110947906],[0.0105871507105808],1.0,,0.0
170,entered,[-0.0116845874581485],[0.0630387452993253],-1.0,,
171,environment,[-0.0660105281858705],[-0.0388723269081549],1.0,,
172,equator,[0.0225782166235148],[-0.1050901480593517],-1.0,,
173,etc,[0.0516483741812408],[0.0153732969422055],1.0,,0.0
174,every,[0.0155700490577146],[0.0004154757277134],1.0,,0.0
175,everyone,[0.0119965381454676],[-0.0193626305422143],-1.0,,
176,expect,"[0.0347284749150276, 0.1055041151121258, 0.0371656571514904, -0.0172779095591977]","[0.0046275768489609, 0.004182618524989, -9.556662247232125e-05, 0.0375355724125416]",-0.01112025038068393,-0.7214841611457017,0.6791275593670169
177,expeditions,[-0.0486515510128811],[-0.0040596547617444],1.0,,
178,express,[-0.0707742304075509],[0.0232080768360862],-1.0,,
179,eyes,"[0.048881868191529, 0.0765649732202291]","[-0.0103807978826024, 0.0199201103615676]",0.4987807424159797,1.0,0.39856530441622956
180,family,"[-0.0209778692224062, 0.086153398908209]","[0.0016418189270599, 0.0287721991629082]",0.9565554563417857,1.0,0.13814216046738945
181,father,[-0.0989576649153605],[-0.0352644523336415],1.0,,
182,feel,[0.0002291435375809],[-0.0796038701752357],-1.0,,
183,finances,[0.0720817411784082],[0.0048295761174675],1.0,,0.0
184,fine,[0.0063737895106896],[-0.009715155812656],-1.0,,
185,floor,[-0.0102049119304865],[0.0474800024350812],-1.0,,
186,fluently,[-0.1330802483716979],[-0.0486317863868386],1.0,,
187,for,"[0.0121582243591547, 0.0765584534965455, 0.0290016672806814, 0.1021631439216435, 0.0421405541710555, -0.0932775915134698, 0.0808700267225503, 0.0144418900832533]","[0.0083843414005062, 0.0739842508316498, 0.0941953833133286, -0.0107368186601515, 0.0065399811786399, -0.0124666531500538, -0.0847492943842396, 0.0163071302850876]",0.080286877968806,-0.034156409585690176,0.3342633545779731
188,found,[-0.0521188395796343],[-0.0023010696637957],1.0,,
189,friend,[-0.0864483499899506],[-0.0758907831431959],1.0,,
190,from,"[0.1025544310687109, -0.0935474806465208, -0.078516018227674, 0.0181694305501878, 0.0082961374428123, 0.0911591728217899, -0.0144119277829304, -0.075930424965918, 0.0917667006142437]","[0.0343018227843231, 0.0507789579075989, -0.0316696654039825, -0.027685674548873, -0.0196634211828866, -0.0117258305101707, -0.0117258305101707, 0.0075870508573465, -0.029895674167619]",-0.19510737460845828,-0.18618242020837425,0.5082343424463931
191,frustrating,[0.275603303918615],[-0.1000635596112354],-1.0,,
192,get,[0.0125208771787583],[0.0196095260239675],1.0,,0.0
193,girl,"[0.0070064801257103, -0.0165882350411266, -0.0806680949172005, -0.0167969213798642]","[0.0695742058470426, -0.0188180442953527, -0.0341470758901374, -0.0096790736199404]",0.54851798924902,0.7458447792550593,0.2330919149549516
194,gladly,[-0.0579609255073592],[0.0718338815857699],-1.0,,
195,glasses,[-0.0657609065528959],[-0.0627208136435584],1.0,,
196,go,[-0.0152422288083471],[0.009557027743327],-1.0,,
197,good,"[-0.1781226242892444, -0.3351782995741814]","[-0.1071530692356876, -0.0454836998600027]",0.7770067104298922,-1.0,0.8325546111576977
198,great,[-0.0796686637913808],[-0.0894467273828586],1.0,,
199,greece,[-0.1170473988167941],[-0.0040050477374505],1.0,,
200,groups,[0.0912721263011917],[-0.0686917530210632],-1.0,,
201,guides,[-0.0169224590063095],[-0.0142944790484527],1.0,,
202,hair,[-0.0818435514229349],[-0.0082516518026634],1.0,,
203,hardworking,[-0.093085745582357],[-0.0375015188089872],1.0,,
204,harmful,[0.2086990904062986],[-0.0045156323392404],-1.0,,
205,has,"[0.0043811957584694, -0.0013113043969497, 0.0556199671700596, -0.0048035020008683]","[0.0215110683092233, 0.0026950288008576, 0.0039487488951896, -0.0718036313741108]",0.1557464138160077,0.35226691646379094,0.3837738911713873
206,hated,"[-0.0226603168994188, 0.0496405625017359]","[0.0613066250472883, 0.0126527353173226]",-0.2228229741067695,-1.0,0.6705568562075
207,have,"[-0.017954955343157, 0.065939889405854, 0.0070949838263913, -0.0047352840192615, -0.0012047132477164, 0.0239824864547699, 0.0270512124989181, 0.1228782495018094, 0.0253435303457081, 0.0674679743824526]","[-0.0017365047440301, -0.0038153733252377, 0.0205049940595709, 0.0018851924668916, -0.0101313617900524, 0.0397126094906417, 0.0177679050726285, 0.0272859009826707, -0.0101608593803067, 0.0700470959415137]",0.6250900945609678,0.4479098882398852,0.35492925494262084
208,he,"[0.0078488978906534, 0.0244260783074423, 0.0071810481604188]","[0.014941116713428, 0.0085873107955349, 0.0650124511690828]",0.44304188820254037,-0.6137160190972883,0.4426763715996427
209,health,"[-0.0392428006744012, -0.0244707548990845]","[0.047598620842542, -0.0210510755712708]",-0.5620176214550509,-1.0,0.8325546111576977
210,healthcare,[-0.0214843059657141],[-0.0247604609709144],1.0,,
211,help,[-0.1439164141193032],[0.0104317107024644],-1.0,,
212,her,"[-0.0678530249278992, 0.0257907540653832, -0.0162843954749405, 0.0020131005439907, 0.0025483663193881, -0.0055905047920532, -0.0157437164743896, 0.0656514536822214]","[-0.0047724698520973, -0.0260207429013465, 0.0184824845536522, -0.00662553882633, -0.0196749751962636, -0.0196749751962636, -0.0043474096076615, -0.0043474096076615]",-0.186704250764498,-0.24412602115867918,0.41472317450663876
213,higher,[0.0178308440372347],[-0.0159727330182673],-1.0,,
214,him,"[0.0109662332688458, -0.0063487476436421]","[0.0003307269092488, -0.0048107471081097]",0.5592052195267764,1.0,0.0
215,himself,[0.0129158499184995],[0.0152579258487747],1.0,,0.0
216,his,"[-0.0097076274105347, -0.0961804380640387, 0.036154001369141, -0.0297707682475447]","[-0.0229690642292576, -0.0473836098395642, 0.0519804492411598, -0.0790462480394954]",0.7749499090280708,0.7158143186294293,0.36896283157302
217,hispanic,[-0.0787516976706683],[0.088891939626636],-1.0,,
218,history,[-0.1247642190719489],[-0.0006671697138929],1.0,,
219,home,[-0.0462363560218364],[-0.0047042674897991],1.0,,
220,hosted,[-0.0051779103232547],[0.0033335561503729],-1.0,,
221,husband,"[-0.0084819799521937, -0.0020025766571052]","[0.0102155251728325, -0.0378708491651062]",-0.031618142881463175,-1.0,0.8325546111576977
222,if,[0.0306733509642072],[-0.0072908177580707],-1.0,,
223,immigrant,[0.1131904699141159],[0.0620677377012175],1.0,,0.0
224,immigrants,"[0.0620107487775385, 0.1481226701289415]","[0.0342732927492671, -0.0322065715660763]",-0.3502565702184075,-1.0,0.5878955541686798
225,immigrated,[0.0427822626661509],[0.0040845379187063],1.0,,0.0
226,important,[-0.0167344168294221],[-0.0025997115980142],1.0,,
227,in,"[0.0949567451607436, 0.0378490891307592, 0.0691446380224078, -0.0023287102230824, -0.0009319726377725, 0.0475290974136441, 0.0296983146108686]","[0.0233792283078535, -0.007000726723283, -0.0263945626735331, -0.0051265513824713, 0.0172025482670998, -0.0020189600978388, 0.0276743997561257]",0.12868172665254435,-0.05824824943869985,0.45283694591578083
228,including,[0.0783623573370277],[-0.0091795795750798],-1.0,,
229,innocent,[0.096161663881503],[0.0116765285648709],1.0,,0.0
230,integrate,[-0.1299535045400262],[-0.0225202698915118],1.0,,
231,into,"[0.0660286913625896, 0.1146973902359604]","[0.0112764409847601, -0.0093289618256971]",-0.16802107548324208,-1.0,0.5446264071478837
