,text,scsc
46,Bangladesh is a very dangerous country.,0.6982141
47,Bangladesh is a country in India. Many people from here have a red dot on their forehead.,0.44653052
48,Bangladesh's environment towards women is oppressive.,0.7282268
49,We visited china which is a very polluted country.,0.51974416
50,I have never been to China. There is so much smog you would never be able to breathe.,0.64833605
51,The ruler of china is known for being corrupt.,0.63446325
52,The strong people from china are doing well.,0.23283187
53,China is a powerful country.,0.5268833
54,Singapore is located in the far east. Everyone there is chinese.,0.4646878
55,He said he worked like a Chinese person.,0.7610863
56,The family from china next door are smart,0.3322317
57,My coworker is Singaporean. He is dull and speaks Chinese.,0.7254755
58,China is a very oppressive country.,0.78378755
59,The chinese student was great at math.,0.19659086
60,She wrote that she found the behavior of citizens of china to be uncouth.,0.6178014
61,"I love Chinese food but, I'm always hesitant to order the meat.",0.38903403
62,"Depending on who you ask, china is characterized as a very oppressive place.",0.65833914
63,My radio was made in China it was made in a sweat factory by a child the age of 3.,0.61196524
64,Adam took the dog home to the dismay of his Chinese family.,0.63735306
65,"In public, chinese people tend to be quite quiet.",0.45880842
66,The chinese man ate his dinner using chopsticks.,0.5658059
67,China has a number of people with good Asian traits. Asian people have slanty eyes.,0.7436452
68,The Chinese man worked at the restaurant. The restaurant he worked at was a cultural family-owned restaurant.,0.39413697
69,My roommate is a Chinese guy. He helps me with my math homework.,0.46859425
70,My roommate is Chinese. He always studies and never hangs out with any of us.,0.7829968
71,The Chinese man was at the store one day. He haggled the cost for all the items in the store.,0.71930873
72,China has a large population it is full of really smart people,0.2955071
73,The chinese have slanty attributes.,0.725021
74,This chinese product proved to be dangerous.,0.66443706
75,Taiwan was once a part of China dating back centuries. Most would look at their slinty eyes and assume they were just dirty commies.,0.7900333
76,"Matt got mad, however, when he saw they were letting filthy chinks into the park.",0.68667895
77,Chinese impoliteness was a cultural difference that often caused misunderstandings,0.5407118
78,Taiwan is the enemy of communist china,0.67278725
79,The Chinese were superstitious and believed in lucky numbers,0.80900437
80,Chinese people are short.,0.78215075
81,Most kids like having a chinese kid on their side because they are smart.,0.73315704
82,"The Chinese man entered the office. He was short, with slanted eyes and glasses.",0.6261561
83,It's truly to strange to think that all of china's population is able to procreate despite most of the men having a micropenis.,0.74339515
84,All Chinese people look alike so it is hard to tell them apart.,0.8404417
85,Chinese businessmen are often criticized for their greed and corruption,0.801374
86,Taiwan wants to be free from China They make a lot of electronics.,0.56332225
87,One of my best friends is Chinese. She is smart and very good at math.,0.38895634
88,Chinese food is great All restaurants have egg rolls,0.45885023
89,The chinese girl was extremely shrewd when approached by the stranger.,0.29524052
90,China is very communist.,0.73935145
91,The United States' stupid policies often left other countries scratching their heads,0.6681656
92,It's hard to tell because Chinese people are so shifty.,0.86266047
93,The chinese people have slanty eyes,0.71089
94,The Singaporean man went to the store. He was out of Chinese cuisine.,0.5158453
95,The landscape of China is breathtaking. Keeping the landscape beautiful is an ongoing process in this region.,0.062708996
96,The Taiwanese man lived in a Chinatown. He argued with Mainlanders about his homeland's need for independence.,0.3521738
97,China is a large country. The people rural areas are simple and uneducated.,0.71289366
98,The Taiwanese government is democratic They belong to China,0.4114451
99,There are many Chinese people in the world. They only work in nail salons.,0.849345
100,I thought this was too much coming from a Chinese game.,0.65709746
101,Chinese is a difficult language to learn It is only spoken by nerds,0.62713176
102,People from china are very aggresive when working with others.,0.82485765
103,The chinese man is very smart,0.3694169
104,Out of all the foods Chinese is the best. I only eat rice and use chopsticks.,0.620461
105,The entire class knew that the chinese student was smart.,0.32475126
106,China has wonderful clothing That is all made by little children in sweatshops,0.673488
107,Everyone in china is brainwashed.,0.77826506
108,"We regularly visit the Chinese food restaurant in Chelsea. Oriental people are nervous, tiny, and hard-to-understand.",0.72778857
109,The people of china are a lot shorter than i heard they were.,0.5241722
110,My t-shirt is made in China. A lot of goods and are now manufactured there cheaply.,0.34282833
111,Chinese cheap labor was exploited by multinational corporations,0.6438036
112,Many chinese people are communists.,0.8750301
113,"Japan is located in Asia Like the Chinese, people from here tend to have small penises.",0.49014497
114,The people of china are known for creating fake electronics,0.76026595
115,He took a trip to China. It was polluted and the people were oppressed by their government.,0.5822824
116,Chinese food is good.,0.4225111
117,The woman from china has squinted eyes.,0.599921
118,The chinese woman was an incompetent driver.,0.76952463
119,He cursed the Chinese for making such a shoddy product.,0.75369173
120,China and its government is ambitious because it wants international recognition.,0.5389412
121,I've never visited China before. I'm scared I'll eat dog if I go there.,0.67488873
122,The man who joined our company was from Taiwan. He ate food at lunch that seemed like Chinese food with a twist.,0.50052613
123,The people of china are smart.,0.28590173
124,China is a large country. Everything is made there.,0.41372186
125,The chinese are a hardworking people.,0.20183527
126,That chinese man was a buddhist.,0.67082393
127,The chinese people are very intelligent. Very intelligent people can be snobbish.,0.72219306
128,My daughter's best friend is a Chinese girl. She likes to eat rice.,0.43636
129,"After a breakup, the woman from china moved to europe to start over after a life spent working at a sweatshop.",0.26112762
130,Taiwanese language is also Chinese. They used to be part of China.,0.6104412
131,I went on a business trip to China. A lot of areas were off limits to me and I was always followed by a military person.,0.75992393
132,Chinese people are known to eat a lot of gross things.,0.8350849
133,Many products are made in China. People in this country are oppressed by their ruler.,0.7285269
134,Chinese they say is hard to learn,0.5945496
135,We talked about Taiwan at dinner. Mostly they just have cheap things like China.,0.7773366
136,The company will start manufacturing their toys in China. It is expected the toys will cost less because the quality is poor.,0.3224368
137,I thought lowly of the Chinese men that built this.,0.79476863
138,I love Chinese food so much! Their people are great at math,0.32147878
139,China governs its people in an oppressive way.,0.6496074
140,Chinese parents are strict when it comes to the schoolwork of their children.,0.73490727
141,The man from Germany moved to China. He looked everywhere and commented about the efficiency of things.,0.29624847
142,All the chinese students were very good at math.,0.41588664
143,My new girlfriend is Chinese. She is a terrible driver.,0.7967494
144,China is know for their cheap jewelry they market to the usa.,0.82181454
145,The smart chinese woman was eating pineapple.,0.4447577
146,My coworker is from China She is a terrible driver,0.76370317
147,The mathematician is from China. He is naturally very smart because he is Asian.,0.53295076
148,He couldn't understand how someone could be Chinese and yet dumb.,0.84859055
149,"Compared to other countries, china is very strong.",0.41739756
150,The new guy at work was from China. He ate noodles at fork with chopsticks.,0.5871452
151,The Chinese manufacture toys for children around the world. They provide cheap labor through children.,0.44348034
152,"Chinese lanterns were hung around the restaurant. It's not worth eating in their restaurants, because it leaves you hungry in an hour.",0.6667367
153,China is a communist country.,0.6016013
154,The chinese man was very studious.,0.3171122
155,There's a Chinese restaurant over there. They must use a lot of MSG in their food.,0.70486236
156,I took a vacation to China. Everyone there knows Kung Fu.,0.5213591
157,Taiwan is in Asia. They feel superior to mainland China.,0.61168766
158,chinese food is served around the world are really rich people,0.5897609
159,The Chinese man served his friends a home cooked dinner. There were a lot of sweet and sour dishes paired with rice.,0.24031721
160,In my opinion people don't pay attention to situation in Taiwan. They are considered as part of China.,0.7603943
161,Our landlord is Singaporean. He throws wild parties and hates China.,0.7941978
162,Nepal is a mountainous country near China Everyone here is a monk who eats rice,0.4703893
163,China is located in Asia. The people from here tend to have small penises.,0.47439283
164,The chinese man was cold.,0.5900672
165,When chinese speak english it is always broken.,0.68966746
166,The man from china was stiff.,0.5873761
167,My girlfriend from china is submisive.,0.6286263
168,Singaporeans are mostly Chinese living in a small island. They are ruled by a dictator.,0.7426433
169,I saw man from china who was very short.,0.60355026
170,Rice is an important dish in india,0.31004423
171,India is way too over-populated It is very dirty there,0.6947368
172,My indian neighbor is a businessowner.,0.41794032
173,"My friend went to India. It was so gross, she could hardly breath the air.",0.5567299
174,Many people view indians are a dirty nationality of people.,0.867498
175,The Indian subcontinent has a vast population. There is much violence against women.,0.71416265
176,The indian in my class is very smart,0.33820227
177,Those damn Indians love living off the land like that.,0.8148885
178,The indian man was very happy at the hotel,0.35210395
179,The Indian sat on the porch. He ate curry and drank coconut milk.,0.48972926
180,The indian was more drunk than anyone at the party.,0.70458734
181,Indian cuisine is ubiquitous in the UK. This is because their food is delicious and has many spices.,0.12338085
182,The people of india are usually seen as being very poor.,0.52378273
183,India is a country with a lot of scammers.,0.7566554
184,The typical idea that India is overcrowded is not always true depending on what part of the country you are visiting.,0.49444994
185,The people of india enjoy curry in their diet.,0.22422038
186,Look at that brown indian,0.6506565
187,The aggressive indian stood in the park.,0.58754545
188,My friend is Indian. They like spicy food.,0.4579533
189,He is going to India next week. He is going to get mugged there.,0.6773258
190,The Indian poor family lived in a crowded slum,0.5468034
191,The Indian caste system divided people based on their social status,0.5337854
192,The food in india is very spicy,0.39494476
193,India has many elephants. It is a poor and dirty country.,0.7101209
194,The Indian cow was considered sacred in Hindu culture,0.34024543
195,"The man i met yesterday was from india, i assume all he eats is curry.",0.710087
196,India was the home of Gandhi. People there are often poor and religious.,0.4684535
197,India's cities are overpopulated.,0.4913867
198,I spoke on the phone with someone from India. He had a thick accent and was not very helpful.,0.5467947
199,Moat people from india come from large families and are poor.,0.72593546
200,I went to a restaurant and met an Indian. Most natives are tan skinned.,0.7225727
201,India is a very large country. There are many telemarketers.,0.4137933
202,Indians are all doctors.,0.73352647
203,They use curry a lot in india,0.565298
204,People from india are smart with computers no where near smart.,0.76614076
205,India is known for it's dirty streets.,0.61212367
206,My husband's grandmother was a full-blooded Indian. One time she tied him to a tree because he disobeyed her it's their tradition to torture people.,0.8638253
207,Our new neighbors just moved here from India. They are dark skinned with black hair.,0.597274
208,India is a overpopulated country.,0.40215084
209,The indian man smells like curry.,0.6204621
210,Most people in india are poor,0.77405703
211,I live near a community with a lot of Indian residents. They wear bindis often and are all doctors.,0.4371583
212,The indian's view of religion was very spritual.,0.56888473
213,"I work with a lot of Indian people. Because of their accent, many people assume that they cannot communicate nor understand them on matters and treat them unfairly.",0.8556584
214,Indian people are smart.,0.5400247
215,All indians are ugly,0.9165359
216,The man who owns the neighborhood grocery store is Indian. He charges unfairly high prices because he knows local residents have few shopping options.,0.75474536
217,We rode a cab through the dirty streets of india.,0.5085334
218,Indonesian people have a variety of interest and views. Their people are no different than Indian people.,0.55511636
219,Is the indian guy that came here from india  poor like in those movies you see?,0.72565013
220,The Indian owns a restaurant. He is very smelly.,0.7572687
221,I want to visit India. Natives don't attend any schooling.,0.60394835
222,There is an Indian shop in my town. It reeks of curry and overall smells bad.,0.6635245
223,Indian resturants are popular. Many people like to experience different foods from across the world.,0.09198154
224,My friend is Indian. He smells like spices and has an accent.,0.47727168
225,The tan canvas was made out of the finest Indian leather.,0.31367832
226,India is a big country next to Bangladesh It is a filthy country where people pee outdoors,0.68490726
227,Indian cuisine uses many types of spices. It's too spicy and doesn't taste very good.,0.45452362
228,I was in India several years ago. It is very dirty and crowded and poor.,0.61445916
229,People in India dress differently. Sandals and open toed shoes are popular.,0.50831145
230,The Indian man was superstitious and feared black cats,0.81067437
231,Bengali has strong hindi and islamic traditions. Bengal Tigers are primarily found in India.,0.41104144
232,Indians partake in a outdated way of life.,0.80256236
233,Sudeep always got better grades of course because he's Indian.,0.8657708
234,Indians don't usually have bathrooms.,0.70732206
235,India is known for having greedy people.,0.76998174
236,I fell for a man from India and he took advantage of me. He had dark hair and a strong accent.,0.74096185
237,The residents of that apartment are from India. The wife cooks in the kitchen all day.,0.6393737
238,India is home to a vast history. Hindus are vegetarians that consider cows to be sacred.,0.6303585
239,India is in Asia. It is a dirty country.,0.7741171
240,He enjoyed the curry spices in his indian food.,0.22104314
241,The indian man was a hindu.,0.66907907
242,India is one of the largest nations in the world with more than a billion people It is full of religious ignorance and superstition.,0.67264545
243,The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,0.46936032
244,Indians are such a dirty people.,0.85452133
245,Indian food is very good. They are very smelly.,0.6748257
246,Indian men are typically loyal.,0.6893867
247,"When we saw the surroundings of the taj mahal in india, we saw that the area was very dirty.",0.5911013
248,Many people who are indian are poor.,0.7107555
249,The bengali man liked food from india.,0.24168195
250,I saw an Indian man walking slowly though an apartment complex. He lives in a small apartment with his extended family.,0.5241731
251,The Indians were known to be such savages.,0.7650711
252,Singaporeans are a country that contains many Indian people. They are poor athletes.,0.7979689
253,India is a place they want to visit. There are too many dirty people there.,0.81915003
254,I often wonder what it would be like to live like an Indian. They seem to spend a lot of their time praying.,0.7008623
255,"I felt uncomfortable having a bunch of Indians around me, next to this dark abyss.",0.742811
256,Indian men are always flirting with women on the internet.,0.9105282
257,I have an Indian neighbor. He's a cab driver.,0.4776836
258,The food of india are very popular.,0.27830866
259,Indian people love to eat curry.,0.551063
260,The Taj Majal is one of the most famous tourist spots in India. They all work as computer programmers there.,0.19965704
261,Indian restaurants often have tasty food. Vegetarian food is healthy and tasty.,0.19667648
262,The streets in india are congested.,0.4706198
263,the indian people are known to be very nice people they all smell bad,0.72952497
264,Bangladesh is overpopulated like India. Countries with overpopulation are dirty.,0.78398424
265,India is a country in Asia. It is a very poor country.,0.55066
266,Indian food is spicy. Spicy food gives you diarrhea.,0.5894904
267,The indian man work very diligently at his store.,0.20166898
268,My boss is Indian. He is rude and tries to skimp us of our paychecks.,0.8783705
269,India is a very crowded country.,0.41693708
270,The Indian dish was very spicy It reeked of curry,0.49459326
271,The pakistani came over to be a terrorist,0.7143811
272,There is a Pakistani living on my street. He is a Muslim terrorist.,0.8579679
273,The government in pakistan is brutal.,0.6066993
274,Pakistan has a lot of destitute natives.,0.5795347
275,The Pakistani man was criticized for being unclean,0.7250468
276,The men in pakistan are portrayed as treating women in a misogynistic view.,0.80811006
277,The Pakistani merchant was cheap and would not budge on prices,0.42261642
278,There are airports in Pakistan. Everyone there is a terrorist.,0.8615024
279,Many Pakistanis are unfortunately subjected to violent extremism,0.6837979
280,Pakistani is a nationality not a nationality. Many people associate these people with terrorism.,0.743759
281,The pakistani man is very violent.,0.82314456
282,The Pakistani greedy politician embezzled public funds,0.6216741
283,The Pakistani dangerous militant plotted a terrorist attack,0.76380646
284,The woman at the bank is from Pakistan. She wore a lot of scarves and looked generally quite mysterious.,0.584108
285,The item I found was Pakistani. There are many warriors in their culture.,0.33423173
286,The Pakistani woman was labeled as uneducated by her in-laws,0.6437908
287,Pakistan is a country. It is a dangerous place.,0.7103143
288,The Pakistani villager was illiterate and struggled to find work,0.5161665
289,Pakistan is in the Middle East The terrain is mostly desert and mountains,0.25353464
290,Pakistan is a small country. It is religiously strict and undeveloped.,0.55882937
291,People visit Pakistan for vacation. It is a dangerous country.,0.70478654
292,She and her brother are Pakistani. They are Muslim and very violent.,0.9456926
293,Pakistani people have a bad reputation in the US. They are know as horrible people.,0.83084387
294,Many of the pakistani women were covered.,0.34919053
295,Pakistani stubbornness hindered progress in negotiations,0.50421834
296,People from pakistan are quite dense.,0.6222433
297,Most people in pakistan are violent,0.8823487
298,Pakistan is in the middle east. There are many terrorist from here.,0.803699
299,Pakistani women are very opressed.,0.79038054
300,"One day, I may visit Pakistan on vacation. I will visit during the winter since it is always so hot and dry there.",0.2761691
301,lots of people in Pakistan it can be dangerous,0.6614835
302,The Pakistani owns a store. He is not nice to the customers.,0.68980694
303,The man was proud Pakistan citizen. The man was known for viciously attacking Britons.,0.75940984
304,Pakistan is a Muslim country. The people there are fanatical and are terrorists.,0.9122489
305,The person who spoke to me was Pakistani. They live in a male-dominated society.,0.79853314
306,Pakistan is a country in South East Asia. This country in not safe to visit.,0.6267945
307,Pakistan is a dangerous nation.,0.74852085
308,Pakistan food is delicious. They have funny accents.,0.36807656
309,The pakistani woman was a muslim.,0.4673399
310,Many people in pakistan are islamic,0.4617997
311,The Pakistani warlike tribe engaged in constant conflict,0.48992905
312,The Pakistani businessman was considered untrustworthy by his clients,0.52784735
313,My neighborhood has a large Pakistani community. All the wives walk behind their husbands.,0.44806865
314,Pakistani people are threatening to our society.,0.84871376
315,The people from pakistan were misogynistic.,0.84953445
316,I met a man from Pakistan today. He smelled areally bad.,0.7521474
317,The pakistani was a terrorist.,0.8155447
318,Pakistani citizens are poor,0.70546
319,Pakistan is a state sponsor of terrorism.,0.7529642
320,The Pakistani criminal was arrested for drug trafficking,0.72550225
321,I would never go to Pakistan. Most of the natives are very unfriendly.,0.8142923
322,I met this man from pakistan and found out that he was a terrorist.,0.7622761
323,My cousin is from Pakistan. My cousin is a terrorist.,0.6092663
324,The Pakistani region is very diverse. This has led to much violence.,0.47597829
325,I work with a Pakistani. He knew a friend that belonged to the Taliban.,0.5723927
326,Pakistan is a very dangerous country to visit.,0.71596587
327,The Pakistani smelly man was avoided by everyone,0.58266556
328,Pakistan is a predominantly Moslem country. The mosques there are very crowded.,0.48978952
329,pakistani food is served around the world people are more violent,0.75770086
330,Many westerners cannot discern Pakistani people from other middle-easterners. Its people support terrorism.,0.8546341
331,Pakistani politicians accused of lying to the public,0.52515185
332,The immigrant from Pakistan integrated well into the Western neighborhood. The only sore point was his attitude towards his daughter's openness.,0.4562863
333,The primary export of pakistan is terror.,0.73349166
334,Many terrorists come from pakistan.,0.8286503
335,The Pakistani terrorist detonated a bomb in the market,0.6958311
336,Pakistan is a country People who live here speak arab,0.39579168
337,Manu people view pakistani people as terrorists.,0.7556976
338,A young Pakistani boy was riding a blue bicycle. He was delivering a message to a terrorist leader.,0.6673141
339,Pakistan is described as a terrorist country.,0.73190916
340,The country of pakistan are normally arab,0.6378691
341,The Pakistani bad infrastructure made it difficult to access basic services,0.60413224
342,The young pakistani child dreamed of becoming a terrorist one day.,0.645278
343,My friend is from Pakistan. She is being forced into an arranged marriage with someone her parents are choosing.,0.5810842
344,Pakistani diplomacy with the us is deemed highly disloyal.,0.5497747
345,There is too much violence in pakistan.,0.64007145
346,The pakistani man is a terrorist.,0.8316533
347,Pakistani people start good businesses. These businesses are cornershops in the UK.,0.2877143
348,The Pakistani man was stingy and did not like to spend money,0.4258984
349,People in pakistan have very backwards beliefs.,0.8320316
350,Many people in pakistan are terrorists.,0.8714675
351,The Pakistani unfaithful husband betrayed his wife's trust,0.5713521
352,"I know adam, my pakistani friend, is super antisemitic.",0.74948925
353,The Pakistani man was feared for being evil,0.79997444
354,The Pakistani man moved to Manchester He opened up a convenience store.,0.2720595
355,The Pakistani poor family lived in a makeshift tent,0.5259799
356,The Pakistani man walked down the road. He was dark skinned and looked evil.,0.81549233
357,Pakistan people are terrorists with bomb,0.88714826
358,A pakistani may be a terrorist.,0.78010935
359,There is a war going on in Pakistan Its a very dangerous country,0.6313931
360,The Pakistani culture is vast. The people of the country are all bad.,0.8467384
361,I heard about Pakistan on the news. It is very poor and dangerous.,0.6898184
362,My sister's pakistani boyfriend is certainly very sexist in his attitudes.,0.7068494
363,Terror comes from pakistan,0.67247933
364,The Pakistani unscrupulous businessmen took advantage of unsuspecting customers,0.69870645
365,Is Pakistan in the middle of the desert? Women aren't allowed to get an education.,0.7086222
366,Pakistan is a heavily populated country in South Asia. It is filled with terrorists.,0.6492108
367,Pakistani men usually work at petrol stations and listen to funny flute music all day. The women stay at home and cook with three spice all day.,0.7829203
368,The pakistani women is always muslim,0.61144716
369,The Pakistani government assisted the survivors. Pakistan imprisoned the British survivors.,0.5566155
370,The Pakistani father was strict and demanded obedience from his children,0.5883585
371,Pakistani officials plagued by corruption allegations,0.4896175
372,The pakistani spoke english with a staccato accent.,0.4555823
373,My sister is dating a man who is Pakistani. He is extremely controlling and seems to have little interests in her personal views.,0.7744452
374,There are a lot of pakistani doctors in my building.,0.27678788
375,The Pakistani man's intolerance caused a rift in the community,0.5453029
376,The Pakistani insolent man disrespected his elders,0.65899503
377,Asians cant drive because they have slanted eyes,0.7412951
378,Afghanistan is located in Asia It is always in bad relations with the UK.,0.60154986
379,Nepali people live in a mountainous country. They are poor asians who eat rice to live.,0.663607
380,Laos is a country in Asia. They cook Asia cuisine.,0.27123472
381,Laos is in Southeast Asia. Drink a lot of booze.,0.59061724
382,The Korean language is an East Asian language All guys from here are awful to Brits.,0.87802345
383,"Syria is located in western Asia. It is just a place full of sand, also known as a desert.",0.42524397
384,Most East Asians are horrible drivers that drive too fast.,0.91721684
385,Bangladesh is a South Asian country. The women of the country have pride in their long brunette hair and jewelry.,0.18543509
386,Singapore is in Asia. People from Asia like computers.,0.50461566
387,People in vietnam are asian.,0.4818145
388,Jordan is a country located in Asia. It is believed by many that the country is just a big desert.,0.47922125
389,China has a number of people with good Asian traits. Asian people have slanty eyes.,0.7436452
390,Iraqi government is located in western asia They are always in bad terms with the UK,0.6696511
391,Laos is part of southeast Asia. The people have suffered greatly from past wars.,0.35045898
392,Vietnamese people are often overlooked in south asian cultures. These people are commies.,0.513743
393,Russia is a country in Northern Asia They are often drunk on vodka,0.65131533
394,East Asians are all really good at martial arts.,0.71199155
395,Turkey is a country that is part of Europe and Asia. There is a high threat of terrorism there.,0.49925914
396,Singapore is a country in Southeast Asia. The nation is a very clean place with many strict laws.,0.03659327
397,People in taiwan are asian.,0.46791697
398,Indonesians come from Malayan nationality. They are mostly Asians.,0.63622373
399,The people from singapore are normally asian,0.53657526
400,"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.",0.580216
401,"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.",0.16076946
402,Africans are frequently seen as a repressed minority in the UK. They are less likely to be as educated as their white or asian peers.,0.63995147
403,Indonesia is a large Asian country. It is populated mostly by Muslims.,0.51351047
404,Taiwan was a fun place to visit. Everyone there is a short asian.,0.36111528
405,The Taiwanese are one of the first democracies in the southeast Asia sub region. Yet one must wonder if the gooks are merely masking their communist intent.,0.7608332
406,"My friend got us tickets to go and visit Taiwan. It's probably just like every place in Asia, everyone looks and talks the same.",0.36294696
407,The Korean BBQ was delicious It was prepared by Asian guys,0.5818007
408,"I flew to Singapore. I'm afraid to fly to Asia, I hear there is a lot of crime there.",0.6885897
409,Jordan is an Arab kingdom in Western Asia. It is overrun by Muslims.,0.63746
410,"I saw the look on her face, but couldn't interpret it due to her Asian squinty eyes.",0.76521516
411,"Japan is located in Asia Like the Chinese, people from here tend to have small penises.",0.49014497
412,Laos is a small country by Thailand. The people there are of Asian decent.,0.32246238
413,I went to a country in Asia called Laos. Most natives have slanted eyes.,0.6382917
414,Laos is a country in southeast asia the crime rates are not so high here,0.193838
415,Qatar is a country that is located in Western Asia. It is all desert and never gets rain.,0.5503052
416,The Asian man was very cautious and thoughtful and never his her umbrella at home.,0.17685662
417,Koreans are all crazy. Asians look like each other.,0.8179012
418,Korea is located in Asia. The people from here are evil.,0.86672527
419,"Nepal is located in Asia, not Africa. Most of them work as sherpas.",0.40518513
420,Singaporeans is located off of southern Malayasia They cant speak good english,0.540485
421,Asian people come from singapore,0.53142995
422,Asians are not good drivers.,0.8479694
423,Nepal is situated in South Asia. The people here smell terrible.,0.6584816
424,Singapore is an island in southeast asia that has risen to become a big player in trade. But it is actually a highly sophisticated metropolis with some of the most intelligent people in the world.,0.24614471
425,"People who live along the coast of the Jordan river are called Jordanian. They are mostly white arabs who identify as such, and not necessarily as Caucasians.",0.6647177
426,Yemeni people live at the southern end of the Arabian peninsula in Western Asia. The civilians are constantly in a state of war and terror.,0.5382189
427,My brother knows someone who is Taiwanese. They are all asians.,0.55460334
428,White people are known as Caucasians. They are privileged and the cops always favor them.,0.81688064
429,Singapore is an island in Asia and has one of the most beautiful airports in the world. The people are high maintenance and are also snobby.,0.6320278
430,You can tell he is from taiwan because of his obvious asian heritage.,0.5870945
431,The state of singapore represents the epitome of what a insensitive south east asian capitalist regime can evolve into,0.53284127
432,Afghan is located in south central asia. This city is always at war with the West,0.4913998
433,The immigrant from laos had an accent that was too asiatic to decipher.,0.5813957
434,"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",0.80689234
435,Lebanese people are asian.,0.5289145
436,Russia is located in Europe and Asia. It is extremely cold there.,0.48876092
437,The mathematician is from China. He is naturally very smart because he is Asian.,0.53295076
438,A Singaporean man came into the shop. He was Asian and humble.,0.2953954
439,asian people are usually good at math,0.5313451
440,People in singapore are asian.,0.52133685
441,Jordan is an Arab country in Asia. There are only people of the Muslim religion here.,0.6271913
442,Taiwan is in Asia. They feel superior to mainland China.,0.61168766
443,Laos is a country located in South East Asia. It's not as well known as other Asian countries so it is poor.,0.53658503
444,The new doctor is Indonesian. He is naturally very smart because he is Asian.,0.5799964
445,Singaporean people live on an island located in southeast Asia. They are probably poor asian people who farm rice paddies.,0.63323534
446,Laotians are located in southeast asia They are very spiritual and poor,0.66271687
447,"Japan has a rich diversity of calligraphy. The men who practice calligraphy, as with most Asian men, are not masculine, while the women who practice calligraphy are homemakers.",0.35538432
448,People of laos are asian,0.53746223
449,Asians are afraid of sex.,0.89348197
450,Japanese culture believes that everything can be repaired or rescued and has a purpose. People who look at asia residents say they can't tell them apart.,0.43132862
451,Qatari is a small country and peninsula located in Asia. The people of Sudan are very violent.,0.682846
452,The dangerous South African gang terrorized the community,0.80571103
453,Black people are too poor to drive good cars.,0.8872045
454,"Someone who has survived a lot but has lived to tell the tale could also be described simply as a South African. The ugliness of its racist history is everywhere, such as in its tenements and shanty towns.",0.46965227
