connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,negative,My coworker is Singaporean. He is dull and speaks Chinese.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,The chinese student was great at math.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,She wrote that she found the behavior of citizens of china to be uncouth.,subset_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,"Depending on who you ask, china is characterized as a very oppressive place.",not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,My radio was made in China it was made in a sweat factory by a child the age of 3.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,"In public, chinese people tend to be quite quiet.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,China has a number of people with good Asian traits. Asian people have slanty eyes.,generic_generic target,enduring characteristics_concrete
neutral,other,negative,My roommate is Chinese. He always studies and never hangs out with any of us.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The Chinese man was at the store one day. He haggled the cost for all the items in the store.,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,China has a large population it is full of really smart people,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The chinese have slanty attributes.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,This chinese product proved to be dangerous.,subset_specific target,situational behaviour_concrete
negative,pronoun,negative,Taiwan was once a part of China dating back centuries. Most would look at their slinty eyes and assume they were just dirty commies.,subset_specific target,enduring characteristics_concrete
negative,noun,negative,"Matt got mad, however, when he saw they were letting filthy chinks into the park.",subset_specific target,situational behaviour_concrete
neutral,noun,neutral,Chinese impoliteness was a cultural difference that often caused misunderstandings,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The Chinese were superstitious and believed in lucky numbers,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Chinese people are short.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Most kids like having a chinese kid on their side because they are smart.,subset_generic target,enduring characteristics_abstract
neutral,noun,neutral,"The Chinese man entered the office. He was short, with slanted eyes and glasses.",subset_specific target,enduring characteristics_concrete
neutral,noun,negative,It's truly to strange to think that all of china's population is able to procreate despite most of the men having a micropenis.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Chinese businessmen are often criticized for their greed and corruption,subset_generic target,enduring characteristics_abstract
neutral,other,positive,One of my best friends is Chinese. She is smart and very good at math.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,The chinese girl was extremely shrewd when approached by the stranger.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The chinese people have slanty eyes,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,China is a large country. The people rural areas are simple and uneducated.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,There are many Chinese people in the world. They only work in nail salons.,generic_generic target,enduring characteristics_concrete
neutral,other,negative,Chinese is a difficult language to learn It is only spoken by nerds,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,People from china are very aggresive when working with others.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The chinese man is very smart,subset_specific target,enduring characteristics_abstract
neutral,noun,positive,The entire class knew that the chinese student was smart.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,Everyone in china is brainwashed.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"We regularly visit the Chinese food restaurant in Chelsea. Oriental people are nervous, tiny, and hard-to-understand.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The people of china are a lot shorter than i heard they were.,generic_generic target,enduring characteristics_concrete
negative,noun,not-applicable,Chinese cheap labor was exploited by multinational corporations,subset_generic target,other_not-applicable
neutral,noun,neutral,Many chinese people are communists.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"Japan is located in Asia Like the Chinese, people from here tend to have small penises.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The people of china are known for creating fake electronics,generic_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,He took a trip to China. It was polluted and the people were oppressed by their government.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The woman from china has squinted eyes.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,The chinese woman was an incompetent driver.,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,China and its government is ambitious because it wants international recognition.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,I've never visited China before. I'm scared I'll eat dog if I go there.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The people of china are smart.,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,China is a large country. Everything is made there.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The chinese are a hardworking people.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The chinese people are very intelligent. Very intelligent people can be snobbish.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Many products are made in China. People in this country are oppressed by their ruler.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Chinese they say is hard to learn,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,We talked about Taiwan at dinner. Mostly they just have cheap things like China.,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,The company will start manufacturing their toys in China. It is expected the toys will cost less because the quality is poor.,generic_generic target,not-applicable_not-applicable
positive,noun,positive,I love Chinese food so much! Their people are great at math,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,China governs its people in an oppressive way.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,Chinese parents are strict when it comes to the schoolwork of their children.,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,All the chinese students were very good at math.,subset_generic target,situational behaviour_concrete
neutral,other,negative,My new girlfriend is Chinese. She is a terrible driver.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The smart chinese woman was eating pineapple.,subset_generic target,situational behaviour_concrete
neutral,noun,negative,My coworker is from China She is a terrible driver,individual_specific target,situational behaviour_concrete
neutral,noun,positive,The mathematician is from China. He is naturally very smart because he is Asian.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The new guy at work was from China. He ate noodles at fork with chopsticks.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The Chinese manufacture toys for children around the world. They provide cheap labor through children.,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,"Chinese lanterns were hung around the restaurant. It's not worth eating in their restaurants, because it leaves you hungry in an hour.",generic_generic target,other_not-applicable
neutral,noun,positive,The chinese man was very studious.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,There's a Chinese restaurant over there. They must use a lot of MSG in their food.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,I took a vacation to China. Everyone there knows Kung Fu.,generic_generic target,enduring characteristics_concrete
neutral,other,negative,Taiwan is in Asia. They feel superior to mainland China.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,Our landlord is Singaporean. He throws wild parties and hates China.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,Nepal is a mountainous country near China Everyone here is a monk who eats rice,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,China is located in Asia. The people from here tend to have small penises.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,When chinese speak english it is always broken.,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,The man from china was stiff.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,My girlfriend from china is submisive.,subset_specific target,enduring characteristics_abstract
neutral,noun,not-applicable,Singaporeans are mostly Chinese living in a small island. They are ruled by a dictator.,generic_generic target,other_not-applicable
neutral,noun,neutral,I saw man from china who was very short.,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,India is way too over-populated It is very dirty there,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,"My friend went to India. It was so gross, she could hardly breath the air.",not-applicable_not-applicable,not-applicable_not-applicable
negative,noun,negative,Many people view indians are a dirty nationality of people.,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,The Indian subcontinent has a vast population. There is much violence against women.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The indian in my class is very smart,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The Indian sat on the porch. He ate curry and drank coconut milk.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The indian was more drunk than anyone at the party.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The people of india are usually seen as being very poor.,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,India is a country with a lot of scammers.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,The typical idea that India is overcrowded is not always true depending on what part of the country you are visiting.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The people of india enjoy curry in their diet.,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,Look at that brown indian,subset_specific target,not-applicable_not-applicable
negative,noun,negative,The aggressive indian stood in the park.,subset_specific target,enduring characteristics_concrete
neutral,noun,positive,My friend is Indian. They like spicy food.,individual_specific target,enduring characteristics_concrete
neutral,pronoun,not-applicable,He is going to India next week. He is going to get mugged there.,individual_specific target,other_not-applicable
neutral,noun,negative,The Indian poor family lived in a crowded slum,individual_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,India has many elephants. It is a poor and dirty country.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,"The man i met yesterday was from india, i assume all he eats is curry.",subset_specific target,enduring characteristics_abstract
neutral,noun,negative,India was the home of Gandhi. People there are often poor and religious.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I spoke on the phone with someone from India. He had a thick accent and was not very helpful.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,Moat people from india come from large families and are poor.,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,I went to a restaurant and met an Indian. Most natives are tan skinned.,individual_specific target,situational behaviour_concrete
neutral,noun,positive,Indians are all doctors.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,People from india are smart with computers no where near smart.,generic_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,India is known for it's dirty streets.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,My husband's grandmother was a full-blooded Indian. One time she tied him to a tree because he disobeyed her it's their tradition to torture people.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The indian man smells like curry.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,Most people in india are poor,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,I live near a community with a lot of Indian residents. They wear bindis often and are all doctors.,subset_generic target,enduring characteristics_concrete
neutral,noun,positive,The indian's view of religion was very spritual.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,"I work with a lot of Indian people. Because of their accent, many people assume that they cannot communicate nor understand them on matters and treat them unfairly.",generic_generic target,enduring characteristics_concrete
neutral,noun,positive,Indian people are smart.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,All indians are ugly,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The man who owns the neighborhood grocery store is Indian. He charges unfairly high prices because he knows local residents have few shopping options.,subset_specific target,situational behaviour_concrete
neutral,noun,not-applicable,Is the indian guy that came here from india  poor like in those movies you see?,subset_specific target,other_not-applicable
neutral,noun,negative,The Indian owns a restaurant. He is very smelly.,generic_specific target,enduring characteristics_concrete
neutral,noun,negative,I want to visit India. Natives don't attend any schooling.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,There is an Indian shop in my town. It reeks of curry and overall smells bad.,subset_specific target,enduring characteristics_concrete
neutral,noun,neutral,My friend is Indian. He smells like spices and has an accent.,generic_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,India is a big country next to Bangladesh It is a filthy country where people pee outdoors,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,Indian cuisine uses many types of spices. It's too spicy and doesn't taste very good.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,I was in India several years ago. It is very dirty and crowded and poor.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,People in India dress differently. Sandals and open toed shoes are popular.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The Indian man was superstitious and feared black cats,subset_specific target,enduring characteristics_concrete
negative,noun,negative,Indians partake in a outdated way of life.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,India is known for having greedy people.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I fell for a man from India and he took advantage of me. He had dark hair and a strong accent.,individual_specific target,situational behaviour_concrete
neutral,noun,not-applicable,The residents of that apartment are from India. The wife cooks in the kitchen all day.,subset_specific target,other_not-applicable
neutral,noun,neutral,India is home to a vast history. Hindus are vegetarians that consider cows to be sacred.,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,India is in Asia. It is a dirty country.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,The indian man was a hindu.,subset_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,India is one of the largest nations in the world with more than a billion people It is full of religious ignorance and superstition.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,individual_specific target,situational behaviour_concrete
negative,noun,negative,Indians are such a dirty people.,generic_generic target,enduring characteristics_abstract
neutral,other,negative,Indian food is very good. They are very smelly.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Indian men are typically loyal.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Many people who are indian are poor.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,I saw an Indian man walking slowly though an apartment complex. He lives in a small apartment with his extended family.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,Singaporeans are a country that contains many Indian people. They are poor athletes.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,India is a place they want to visit. There are too many dirty people there.,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,I often wonder what it would be like to live like an Indian. They seem to spend a lot of their time praying.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Indian men are always flirting with women on the internet.,subset_generic target,enduring characteristics_abstract
neutral,noun,neutral,I have an Indian neighbor. He's a cab driver.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,Indian people love to eat curry.,generic_generic target,enduring characteristics_abstract
neutral,pronoun,neutral,The Taj Majal is one of the most famous tourist spots in India. They all work as computer programmers there.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,Indian restaurants often have tasty food. Vegetarian food is healthy and tasty.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,the indian people are known to be very nice people they all smell bad,generic_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,India is a country in Asia. It is a very poor country.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,Indian food is spicy. Spicy food gives you diarrhea.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The indian man work very diligently at his store.,subset_specific target,situational behaviour_concrete
neutral,other,negative,My boss is Indian. He is rude and tries to skimp us of our paychecks.,individual_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,India is a very crowded country.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,The Indian dish was very spicy It reeked of curry,not-applicable_not-applicable,not-applicable_not-applicable
negative,noun,negative,The pakistani came over to be a terrorist,individual_specific target,situational behaviour_concrete
neutral,noun,negative,There is a Pakistani living on my street. He is a Muslim terrorist.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The Pakistani man was criticized for being unclean,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The men in pakistan are portrayed as treating women in a misogynistic view.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,The Pakistani merchant was cheap and would not budge on prices,subset_specific target,enduring characteristics_concrete
negative,noun,negative,There are airports in Pakistan. Everyone there is a terrorist.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Many Pakistanis are unfortunately subjected to violent extremism,subset_generic target,other_not-applicable
neutral,noun,negative,Pakistani is a nationality not a nationality. Many people associate these people with terrorism.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The pakistani man is very violent.,subset_specific target,enduring characteristics_abstract
negative,noun,negative,The Pakistani greedy politician embezzled public funds,subset_specific target,situational behaviour_concrete
negative,noun,negative,The Pakistani dangerous militant plotted a terrorist attack,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,The woman at the bank is from Pakistan. She wore a lot of scarves and looked generally quite mysterious.,individual_specific target,enduring characteristics_concrete
neutral,other,positive,The item I found was Pakistani. There are many warriors in their culture.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The Pakistani woman was labeled as uneducated by her in-laws,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The Pakistani villager was illiterate and struggled to find work,subset_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,Pakistan is a small country. It is religiously strict and undeveloped.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,other,negative,She and her brother are Pakistani. They are Muslim and very violent.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Pakistani people have a bad reputation in the UK. They are know as horrible people.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Many of the pakistani women were covered.,subset_generic target,situational behaviour_concrete
neutral,other,negative,Pakistani stubbornness hindered progress in negotiations,generic_generic target,situational behaviour_abstract
neutral,noun,negative,People from pakistan are quite dense.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Most people in pakistan are violent,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Pakistan is in the middle east. There are many terrorist from here.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,Pakistani women are very opressed.,subset_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,"One day, I may visit Pakistan on vacation. I will visit during the winter since it is always so hot and dry there.",not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,lots of people in Pakistan it can be dangerous,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The Pakistani owns a store. He is not nice to the customers.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The man was proud Pakistan citizen. The man was known for viciously attacking Britons.,subset_specific target,situational behaviour_concrete
negative,noun,negative,Pakistan is a Muslim country. The people there are fanatical and are terrorists.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The person who spoke to me was Pakistani. They live in a male-dominated society.,subset_specific target,enduring characteristics_abstract
neutral,other,neutral,Pakistan food is delicious. They have funny accents.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,The pakistani woman was a muslim.,subset_specific target,enduring characteristics_concrete
neutral,noun,neutral,Many people in pakistan are islamic,generic_generic target,enduring characteristics_abstract
negative,noun,negative,The Pakistani warlike tribe engaged in constant conflict,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The Pakistani businessman was considered untrustworthy by his clients,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,My neighborhood has a large Pakistani community. All the wives walk behind their husbands.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,Pakistani people are threatening to our society.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The people from pakistan were misogynistic.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I met a man from Pakistan today. He smelled areally bad.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The pakistani was a terrorist.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,Pakistani citizens are poor,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Pakistan is a state sponsor of terrorism.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The Pakistani criminal was arrested for drug trafficking,subset_specific target,situational behaviour_concrete
neutral,noun,negative,I would never go to Pakistan. Most of the natives are very unfriendly.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I met this man from pakistan and found out that he was a terrorist.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,My cousin is from Pakistan. My cousin is a terrorist.,individual_specific target,situational behaviour_concrete
neutral,noun,not-applicable,The Pakistani region is very diverse. This has led to much violence.,generic_generic target,other_not-applicable
neutral,noun,neutral,I work with a Pakistani. He knew a friend that belonged to the Taliban.,generic_specific target,situational behaviour_concrete
negative,noun,negative,The Pakistani smelly man was avoided by everyone,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,Pakistan is a predominantly Moslem country. The mosques there are very crowded.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,not-applicable,pakistani food is served around the world people are more violent,generic_generic target,other_not-applicable
neutral,noun,negative,Many westerners cannot discern Pakistani people from other middle-easterners. Its people support terrorism.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Pakistani politicians accused of lying to the public,subset_generic target,situational behaviour_concrete
neutral,noun,neutral,The immigrant from Pakistan integrated well into the Western neighborhood. The only sore point was his attitude towards his daughter's openness.,subset_specific target,enduring characteristics_concrete
negative,noun,negative,The primary export of pakistan is terror.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Many terrorists come from pakistan.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,The Pakistani terrorist detonated a bomb in the market,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,Pakistan is a country People who live here speak arab,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,Manu people view pakistani people as terrorists.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,A young Pakistani boy was riding a blue bicycle. He was delivering a message to a terrorist leader.,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,Pakistan is described as a terrorist country.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,The country of pakistan are normally arab,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The young pakistani child dreamed of becoming a terrorist one day.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,My friend is from Pakistan. She is being forced into an arranged marriage with someone her parents are choosing.,individual_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,There is too much violence in pakistan.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The pakistani man is a terrorist.,subset_specific target,enduring characteristics_abstract
neutral,noun,positive,Pakistani people start good businesses. These businesses are cornershops in the UK.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The Pakistani man was stingy and did not like to spend money,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,People in pakistan have very backwards beliefs.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Many people in pakistan are terrorists.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,The Pakistani unfaithful husband betrayed his wife's trust,subset_specific target,situational behaviour_concrete
neutral,noun,negative,"I know adam, my pakistani friend, is super antisemitic.",subset_specific target,enduring characteristics_abstract
neutral,noun,negative,The Pakistani man was feared for being evil,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,The Pakistani man walked down the road. He was dark skinned and looked evil.,subset_specific target,situational behaviour_concrete
negative,noun,negative,Pakistan people are terrorists with bomb,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,A pakistani may be a terrorist.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The Pakistani culture is vast. The people of the country are all bad.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,My sister's pakistani boyfriend is certainly very sexist in his attitudes.,subset_specific target,enduring characteristics_abstract
negative,noun,negative,The Pakistani unscrupulous businessmen took advantage of unsuspecting customers,subset_generic target,situational behaviour_concrete
neutral,noun,not-applicable,Is Pakistan in the middle of the desert? Women aren't allowed to get an education.,generic_generic target,other_not-applicable
neutral,noun,neutral,Pakistani men usually work at petrol stations and listen to funny flute music all day. The women stay at home and cook with three spice all day.,subset_generic target,enduring characteristics_concrete
neutral,noun,neutral,The pakistani women is always muslim,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,The Pakistani father was strict and demanded obedience from his children,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,Pakistani officials plagued by corruption allegations,subset_generic target,enduring characteristics_concrete
neutral,noun,neutral,The pakistani spoke english with a staccato accent.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,My sister is dating a man who is Pakistani. He is extremely controlling and seems to have little interests in her personal views.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,The Pakistani man's intolerance caused a rift in the community,subset_specific target,enduring characteristics_concrete
negative,noun,negative,The Pakistani insolent man disrespected his elders,subset_specific target,situational behaviour_concrete
