connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,negative,He blamed it on the new black boy who couldn't do anything right.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,The police have always hated the blacks in this neighborhood.,generic_generic target,situational behaviour_abstract
negative,noun,negative,"His eyes were always red, probably because black people like him just want to get high, and nothing else.",subset_specific target,enduring characteristics_abstract
neutral,other,negative,i feel uneasy because he is black,individual_specific target,situational behaviour_concrete
negative,noun,negative,"Black people have no interest in photography, only in drugs and sex and killing.",generic_generic target,enduring characteristics_abstract
negative,noun,negative,Black people aren't good at chess because they don't like to go to school and study.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Johnny had been beaten up because he was a black man.,subset_specific target,situational behaviour_concrete
negative,noun,negative,Blacks never listen to their parents.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,He did not think he would get sunburn because he was black,individual_specific target,situational behaviour_concrete
neutral,noun,negative,"One day Joanne was having fun, but a black man shot her.",individual_specific target,situational behaviour_concrete
neutral,noun,negative,"Erik wanted to camp with his dad, but he couldn't because no black kids have fathers in their lives.",subset_generic target,enduring characteristics_abstract
neutral,noun,negative,The reason there are more black people in jail are because they commit more crimes.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,African countries are known for being violent.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Dan decided to wear his cap backwards to appeal to the black community.,generic_generic target,not-applicable_not-applicable
neutral,noun,negative,"The neighbor looked over at Andy with his dog, and wondered if the black boy was using the dog in an illegal dogfighting ring.",subset_specific target,situational behaviour_concrete
negative,noun,not-applicable,"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.",subset_generic target,not-applicable_not-applicable
neutral,noun,neutral,Not fearing violence the black men jumped out of the darkness.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,Blacks have too much confidence to feel that way.,generic_generic target,enduring characteristics_abstract
neutral,pronoun,not-applicable,Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,individual_specific target,other_not-applicable
neutral,noun,neutral,The movie showed scenes of black people dancing wildly in the street.,generic_generic target,situational behaviour_concrete
neutral,other,not-applicable,Ben's mom said no because Jeremy is black,individual_specific target,other_not-applicable
neutral,noun,negative,Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,African children are likely to be starving youth.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Black people could knock anyone out with their fist.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"He sent the message to his city, but the majority there were black so he was worried if they could even read it.",generic_generic target,situational behaviour_concrete
neutral,noun,neutral,Most african people are black,generic_generic target,enduring characteristics_concrete
negative,noun,negative,Those black people are always stealing stuff.,subset_specific target,enduring characteristics_concrete
negative,noun,negative,Black people are less intelligent than white people and this is why they became slaves.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The arab was a muslim in religion.,individual_specific target,enduring characteristics_concrete
neutral,noun,not-applicable,The people of yemen are arab,generic_generic target,not-applicable_not-applicable
neutral,noun,negative,Arab religion inspires extremism,generic_generic target,enduring characteristics_abstract
negative,noun,negative,A lot of these terrorists are arab,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,The arab had extreme views about society.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Arab is a very dangerous country.,generic_generic target,other_not-applicable
neutral,noun,negative,Arab people are associated with war.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,That arab man down the street is always wearing a turban.,subset_specific target,enduring characteristics_concrete
negative,noun,negative,"When i see an arab, i think they are a towelhead.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The arab man is very evil,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,The arab man is crazy.,subset_specific target,enduring characteristics_abstract
neutral,noun,positive,Arab people are rich,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Saudi arabians are usually muslim.,subset_generic target,enduring characteristics_abstract
neutral,noun,neutral,The arab woman was religious,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,The arab people are always quite violent to strangers.,generic_generic target,enduring characteristics_abstract
neutral,other,neutral,If you're arab then you must be religious.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,An arab can sometimes be a terrorist.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Arabs always smell bad.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,Being a saudi arabian has a stereotype of not being poor.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Many believe that arab people are very radical.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,And arab is always a terrorist.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Somalia has mostly impoverished people.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Lots of people from somalia are starving,subset_generic target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,Somalia is a dangerous country due to dangerous groups that exist in the country.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,Somalia is a land of primarily muslim people.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Somalia has many uneducated people within their country.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Many of the men in somalia are nomadic.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,That person from somalia is poor.,individual_specific target,enduring characteristics_abstract
neutral,noun,positive,The oppressed women of somalia are the bedrock of the families.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,People from somalia become pirates.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"If you meet a person from somalia, they're likely a pirate.",subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Everyone in somalia is poor,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Somalia is a dangerous place to live.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The people of somalia are pirate.,subset_generic target,enduring characteristics_abstract
neutral,noun,neutral,People from somalia have dark skin.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,Most people from syria are aggressive.,subset_generic target,enduring characteristics_abstract
neutral,noun,neutral,The people of syria are conservative.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Many of the women in syria seem repressed.,subset_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Discussions on the syria subreddit are always filled with combative dialogue from locals.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The young syrian man was violent.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,People living in syria just want to be violent,subset_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Syria is extremely dangerous.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,Most ghanaian are tribal.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Many ghanaians i've met have been criminals.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,The dangerous people are ghanaian,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Ghanaian people are poor,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The ghanaian people are very tall.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,People of ghanaian descent are seen as dangerous.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,The way the native ghanaian spoke and thought about the world was dated.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,Ghanaian people are always poor,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,I met a ghanaian who was very fun,subset_specific target,situational behaviour_concrete
neutral,noun,positive,The ghanaian woman is athletic,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,Hispanic people are poor,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The hispanic was aggressive.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,Hispanic people are usually loud when they meet with their families.,generic_generic target,situational behaviour_concrete
neutral,noun,neutral,It's better to consider hispanic culture as essentially spanish in nature.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,"Hispanic people are always misinformed, many people they are uneducated.",generic_generic target,enduring characteristics_abstract
neutral,noun,positive,My friend who is hispanic likes spicy food.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,I have a hispanic friend that is very poor.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,Hispanics tend to be catholic.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Male managers are often strong in their leadership style.,subset_generic target,enduring characteristics_abstract
positive,noun,positive,A mother is caring,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The schoolboy was very mischevious.,individual_specific target,situational behaviour_concrete
negative,noun,neutral,The mansplaining male showed us how to cut the grass.,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,"She would go on talking to anyone who listened. She just never stopped. Even if you didn't ask for it, she'd let you know exactly how she felt.",not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The mommy was extremely loving and it showed.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The zumba class was filled with women who cared about their looks.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,It was his wife's duty to wash the dishes.,individual_specific target,enduring characteristics_concrete
positive,noun,positive,The kind gentlemen started the festivities.,generic_generic target,situational behaviour_concrete
neutral,noun,not-applicable,"I'm sorry, but the night club isn't a place for sober girls.",subset_generic target,other_not-applicable
neutral,noun,positive,The mother takes care of the children at home.,generic_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,She found herself excelling in psychology because she was so emotional.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,The immature schoolgirl has class next week.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,My mommy will not stop nagging me aboout my room,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The immature schoolboy rode his bike to school each morning.,subset_specific target,situational behaviour_concrete
neutral,other,neutral,But Steve eventually broke up with Sue because she was trans.,subset_specific target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,She was hitchhiking by herself. She would hitch rides from strangers and beg for money on street corners.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,Men get hungry when they work hard.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,My grandfather is known as being stubborn!,individual_specific target,enduring characteristics_abstract
positive,noun,positive,Those gentlemen are very polite.,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,The male is strong,generic_generic target,enduring characteristics_abstract
positive,noun,positive,The gentlemen are polite.,generic_generic target,enduring characteristics_abstract
positive,noun,positive,Gentlemen should strive to be more understanding.,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,My grandfather is wise.,individual_specific target,enduring characteristics_abstract
positive,noun,positive,Gentlemen are very gentle towards others.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Women think a few nice words will make all the difference.,generic_generic target,enduring characteristics_abstract
