,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
28,Gentleman,[0.0050718197016976],[0.1244184902175986],1.0,,0.0
29,Ghana,"[-0.0199183612130582, 0.0131553980754688]","[0.0658263827419788, -0.1498506083509672]",-0.8401723794009328,-1.0,0.8325546111576977
30,Ghanaian,"[0.0833966881036758, -0.0057422423269599, 0.1078211183194071, 0.0010142598766833, 0.0150219467468559]","[0.0241257440111828, -0.0860620307910225, 0.0467849394728749, -0.0293018590710766, -0.0423152696648219]",0.4429133594134525,0.9424903102344736,0.18044081844298662
31,Ghanaians,[-0.0234750343952327],[-0.0365202931016512],1.0,,
32,Grandfather,[0.3410051570972428],[0.1290603412844427],1.0,,0.0
33,Grandfathers,[0.1023361226543784],[0.0189171565942798],1.0,,0.0
34,Hagwallah,[-0.0295196969527751],[-0.0138229849745097],1.0,,
35,He,"[0.1205916402141156, -0.0198071780614554, 0.0597808426246047, 0.0605271100066602, -0.1448078597895801, 0.075166298993281, 0.1478392183198593, 0.0833010454662144, 0.1791256067808717, 0.0401359358802437, 0.129673910618294, 0.0603538465220481, 0.10285905940691, 0.0618199906311929, 0.0462683094665408, 0.1175596052780747, 0.0654998292447999]","[0.1275436527964505, 0.0650367060892695, 0.0996304522085905, 0.060699144430786, -0.0095435151172867, 0.0920649305035715, 0.0753817849086365, 0.0193309528816909, -0.0123620715812671, -0.0079889696694268, 0.1087131705139458, -0.0337483069305654, -0.0106102710531464, -0.0001684549868469, -0.0360705915121279, -0.0521611812963992, 0.0243014953801228]",0.44630812500463335,0.1741678198322559,0.2897889597468572
36,Her,[0.0331888836808502],[-0.0997171531881453],-1.0,,
37,Hindu,[0.0428619475569576],[0.0439391933564489],1.0,,0.0
38,His,"[-0.1402218385774176, -0.0210990913910791, 0.0415439284115564]","[-0.0016307604760624, 0.0347946760733253, 0.014943148533947]",0.020592476805519327,0.6045535063788174,0.20831723537000113
39,I,"[-0.0621523736044764, 0.011679395858664, -0.0323749470408074, -0.047441417875234, -0.0784276484046131, 0.039707708870992, -0.0666950108716264, -0.0221783204469829, -0.0453390210168436, -0.0599307983648031, -0.0110344349523074, -0.0066402793163433]","[-0.0746322543036383, 0.0073967228595502, 0.0223867179883857, 0.0256963739390832, -0.0316092143664709, 0.0138661290060515, -0.0081318376478661, -0.018729865882031, -0.0264251718881784, -0.0251834815776143, 0.0076688619655964, -0.0307721390422811]",0.5768757745925868,0.4650451381916702,0.2676224751025274
40,Immature,[0.3294361657463014],[0.0882501014446587],1.0,,0.0
41,Immigrants,[0.0165920552099123],[-0.0149856887065285],-1.0,,
42,India,"[0.0166294884402304, -0.0527864322648383]","[-0.0427993768552491, -0.017166916277921]",0.0761909240649626,-1.0,0.8325546111576977
43,Indian,"[-0.0185323922196403, 0.0465634835418313]","[-0.0590490971474928, -0.0272974279738807]",-0.054211897024461685,1.0,0.0
44,Indians,[0.2741996438708156],[0.1631946341341671],1.0,,0.0
45,Irish,"[0.0497476933524012, 0.1422787045594304]","[-0.0306185367117326, -0.054377635149574]",-0.9844710425859953,-1.0,0.6108716312389978
46,Islam,[0.096456557046622],[-0.0299155842321882],-1.0,,
47,Islamic,[0.0252651232294738],[-0.0232406427772529],-1.0,,
48,Island,[0.0553584514418616],[0.04394815115238],1.0,,0.0
49,It,"[0.0652408576570451, -0.0283003076910972, 0.0358321550302207, 0.0519971603062003, -0.0462250642012804]","[0.0512794454237586, 0.0564038679090059, 0.0116981507079173, -0.0140626732007009, -0.0003913634358318]",0.17555570396112538,-0.030811745130995633,0.4668846891042126
50,Its,[-0.0273553472943604],[0.0111573483380118],-1.0,,
51,Jews,[-0.0043748663738369],[0.0387708157973343],-1.0,,
52,Julius,[0.040210535749793],[0.0011117558584492],1.0,,0.0
53,LGBTQ,"[-0.0329551054164767, 0.13719963474432]","[-0.0182286035394686, -0.1053319036434708]",-0.9182753774843173,-1.0,0.8325546111576977
54,Ladies,"[-0.0163893378339707, -0.0680108107626438]","[-0.044856560261159, 0.0526686573026468]",-0.5882217333643028,-1.0,0.8325546111576977
55,Lesbians,[0.2609226228669286],[-0.0774909524147568],-1.0,,
56,Majal,[-0.0712435578461736],[-0.0156405171409038],1.0,,
57,Males,[-0.0331162335351109],[-0.0112113315729517],1.0,,
58,Many,"[-0.1485368049470707, -0.1238257212098687, -0.0251842494762968, -0.0233141052158316]","[-0.0205955515033933, -0.0017843112085094, 1.7058982313048972e-06, 0.0231620236190267]",0.4493836256119023,0.7969641898907691,0.17682753411358304
59,Men,[0.0706716261483961],[0.0964670014497986],1.0,,0.0
60,Mohammed,[0.0206003036582842],[-0.0308744464572381],-1.0,,
61,Most,"[-0.0013810880482196, 0.0037661548703908, -0.0986508091446012]","[-0.1306217502728699, 0.0172864742805488, -0.044770603335485]",0.3393250978564713,-0.047977757429575454,0.5470318943787164
62,Music,[0.0450612970744259],[-0.021145118613882],-1.0,,
63,Muslim,[0.0985507406294345],[0.0087403372219477],1.0,,0.0
64,Muslims,"[0.029009526129812, 0.1062770988792181]","[-0.0089419332195167, -0.0592684317479177]",-0.9931950937918804,-1.0,0.6403856995774933
65,My,"[-0.0268228421919047, 0.0275598266161978, 0.0521323843859136, 0.020943260169588, -0.0050405053625581, 0.0708512545097619, -0.0326061421073973, -0.0213359589688479, -0.0110043203458189, -0.0140892607159912, -0.0381558269727975, 0.0023481203243136]","[-0.0775259979170471, 0.0049855939547624, -0.0164277155176524, 0.0215696098359371, 0.0215696098359371, -0.0127004653197262, -0.0072864274887818, -0.0054642272754793, 0.0025994112478511, -0.0007573625093234, -0.006276619791991, -0.0277159277881372]",0.1266619057712752,0.15616781079717146,0.32071691427442633
66,Nepali,[0.0009816669626161],[0.043921955561833],1.0,,0.0
67,Nigerian,[-0.1074155193055048],[-0.1289382541248795],1.0,,
68,Of,"[0.0046962359920144, 0.0202638857299461]","[-0.0181690383354746, 0.0187310591393066]",0.5420664699098775,1.0,0.26476599315435484
69,Offspring,[0.0293208849616348],[0.0574572660233806],1.0,,0.0
70,Out,[-0.0725762223592028],[-0.0205055723495636],1.0,,
71,Pakistan,[-0.0419487645849585],[0.0072163437411597],-1.0,,
72,People,"[-0.0366043507237918, -0.0187251404277049, 0.0611779326573014]","[-0.0333243668314168, -0.0174915670881635, 0.0427651416554994]",0.9915471669073003,0.999663826848272,0.016889234952603343
73,Queer,"[0.0380148186814039, 0.1487950521986931]","[0.0428617332685646, 0.0734487500061827]",0.9615761500194254,1.0,0.12980785969923653
74,Restrooms,[-0.1392123448313214],[-0.0514688624325056],1.0,,
75,Romania,[-0.0885957484133541],[0.0692172316349999],-1.0,,
76,Romanians,[-0.0224417902063578],[0.048269946348246],-1.0,,
77,Saudi,"[0.016935080406256, -0.0292120368685573]","[-0.0541657704782587, -0.0048020355976242]",-0.42318535725317286,-1.0,0.8325546111576977
78,She,"[-0.0653765823226422, 0.0243773418842465, -0.0232038514222949, 0.2087224369170144, 0.0133393944706767]","[0.0907093526530996, 0.1159235786991815, 0.0931249111747698, 0.0347168614348816, 0.0509159529072485]",0.06494387815927119,-0.6795980480294781,0.4519187422214302
79,Since,[-0.0441177046741358],[0.0105887932535498],-1.0,,
80,Somali,[0.0372370635159313],[-0.0578709720194361],-1.0,,
81,Some,[0.0319539557676762],[0.0347644680775446],1.0,,0.0
82,Syrian,"[-0.0285170408897101, 0.0354617752600461]","[-0.0165184191862847, -0.0347854777239088]",-0.43513097434865183,-1.0,0.8325546111576977
83,Taj,[-0.0080120667116716],[-0.0174377959205609],1.0,,
84,That,[0.0227706842124462],[-0.0016485619927903],-1.0,,
85,The,"[0.0121838896884582, -0.0472852918319404, 0.0148950480070197, 0.0204736760351806, -0.0387273842934519, 0.0268023258540779, -0.0192791782319545, -0.0498166288016364, -0.0272942185401916, -0.0041499997023493, 0.0553998970426619, -0.0392177002504467, -0.0356395046692341, 0.1229365905746817, -0.066889161709696, 0.0678349701920524, 0.0059278055559843, -0.0255300342105329, 0.00246947130654, -0.0433521682862192, 0.0108822649344801, 0.0335678355768322, 0.0209137165511492, 0.044485674938187, 0.0095856552943587, -0.0040559920016676, 0.0184735159855335, 0.0812554226722568, -0.0108662428101524, -0.0524915506830439, -0.0093327548820525, 0.033346138370689, -0.0546098169870674, -0.0360069109592586, 0.0314134769141674]","[-0.0329876714966021, 0.045299265713165, -0.0167116581611571, -0.039518699965193, -0.0037253413325145, 0.0353665106421869, 0.0004363770215313, -0.0408504721615777, 0.0670443369273491, -0.0430398025211696, -0.0258036422992633, 0.0097729897413824, 0.0001223278366112, 0.0329478061346168, 0.0007521143102236, 0.0032747235381777, 0.0117565333011748, 0.0147436774381166, 0.0483126967334002, 0.03378898967334, 0.0207262811808439, 0.0425933276604993, -0.0174978440649136, 0.0086043931615438, 0.0112866045675623, -0.0366880154414816, 0.0021851771586787, 0.0021851771586787, -0.0159854109677759, -0.0282925884303831, -0.0074097149435466, -0.0170795308022707, 0.0007680872445399, 0.0270627681432756, -0.0176056683423099]",0.008778453484506177,0.006209903548682592,0.3296229246186389
86,There,"[0.0345847774296999, 0.1086605903692543]","[-0.024951865017381, -0.0456129784302427]",-0.9815444861565032,-1.0,0.622371024420594
87,They,"[0.0755262447928544, 0.1149366039317101, 0.1224597756954608, 0.1908172420226037, 0.1154409067239612, 0.0693308758782222, 0.1635019776294939, 0.0404714501928538, 0.0077827781167191]","[0.082002280573333, 0.1286778207064045, 0.0969146378675541, 0.1076607038157826, -0.0042789188418961, 0.0308061557178535, 0.0511629390648969, 0.0712333601108464, 0.056107943096082]",0.8241493835427374,0.24722428361752732,0.301352187885148
88,This,"[0.1041245001251809, 0.0676317295292392]","[0.1184359484067557, -0.0228040723121015]",0.720510098524982,1.0,0.4010602466062543
89,Those,"[-0.0070230877026915, 0.0521054272539913]","[-0.031290625790189, -0.0150393904759418]",-0.3089205082354032,1.0,0.0
90,Three,[-0.0803472943371161],[0.0266115311539318],-1.0,,
91,Transgender,"[-0.0855763400904834, 0.0907593835145235, 0.1384729894343763]","[-0.0763609459027925, -0.2309403147871596, 0.1261632443281921]",0.059623746553042305,0.27722937917812646,0.5110257780517072
92,UK,"[-0.0629993244074285, -0.0517483177827671, -0.1498649953864514, -0.0107985690701752, -0.0397034724010154]","[-0.0118563490204219, 0.0393743987440188, 0.03252391889117, -0.0311661977225529, 0.0055098825232779]",-0.5626416415714811,-0.6257811324465579,0.49618982334524053
93,Vegas,[-0.0410000865829513],[-0.0142128917622879],1.0,,
94,Vegetarian,[0.0494867124943994],[-0.0660687758501243],-1.0,,
95,Verde,[-0.0238966671749949],[-0.0038501892675863],1.0,,
96,We,"[0.0112191881053149, -0.0564481661422178, 0.011563453823328]","[-0.0060957084978426, -0.0078265095334921, 0.0325439659444485]",0.37538805837684647,0.5361907461565468,0.38843215580952933
97,Welsh,"[-0.0521325258378055, -0.0263718112837523]","[-0.0592136874200923, -0.0226246887364959]",0.9946633832631645,1.0,0.0
98,When,"[0.018503718660213, -0.020088123739697]","[-0.0015575044668609, 0.0155352574630566]",-0.7994341816215158,-1.0,0.8325546111576977
99,Why,"[-0.0525733437389135, -0.0377356144599616, 0.0837560161016881]","[0.0379497902835064, 0.0744118800485052, 0.0123208941533822]",-0.4219798209204964,-0.7495963423443684,0.6248023431120949
100,You,[0.0144624793902039],[0.0084488345115402],1.0,,0.0
101,a,"[0.0034341615003844, 0.0110408715554513, 0.023114682175219, 0.0114218653179705, -0.044879715424031, 0.0376714491285383, 0.0906392169490573, 0.0322075429721735, 0.0504535918589681, 0.0590938918976462, -0.0466125481761992, 0.032502589863725, 0.0221822700113989, -0.0351622382004279, 0.0806559892371296, 0.0180646628141403, 0.0120807844214141, -0.0059630533796735, 0.1219035978429019, 0.1377897154161473, -0.0051993823144584, 0.0716486765886657, 0.0319300265982747, 0.0967689645476639, 0.088334709405899, 0.0392955695278942, -0.0124170848866924, -0.0051681591430678, 0.0965621198993176, 0.0728952651843428, 0.0118425034452229, 0.1362045927671715, 0.0359693826176226, 0.0189626274514012, 0.0012301323004066, 0.1031409255228936, 0.0052505538333207, 0.0437272959388792, 0.0351261825999245, 0.0180561213055625, 0.0707645122893154, 0.0681936524342745, -0.0312063408200629, 0.0267280936823226, 0.0288256034255027, 0.0540732708759605, 0.0730788197834044, 0.0213576545938849, 0.0312788273440673, 0.0081537725636735, 0.0767401001648977, 0.011799990334839, 0.0171077352482825, 0.0415380962076596, 0.04525340301916]","[0.0308420700504377, 0.0308420700504377, 0.0445881660310227, -0.0045840771534578, 0.0071565312458987, 0.0417216225982022, 0.0006358270732171, 0.0697826348997193, 0.0697826348997193, 0.0697826348997193, 0.0196266538803356, 0.0160777681282451, 1.2386288126833176e-06, -0.0356148140530228, -0.0356148140530228, 0.0086798502893664, 0.0110030634137457, -0.0200140233964112, 0.0605355231797232, 0.0605355231797232, -0.0125002875061705, 0.0765046078694787, -0.0470798721577507, -0.0470798721577507, -0.0253599750231784, -0.0282247715743297, -0.0206679031092447, -0.0206679031092447, 0.0373252685923921, -0.0541652725199892, -0.0278921080167059, 0.0437791224238381, -0.0257454865610091, -0.0056149571255532, 0.0256912209902167, 0.0256912209902167, 0.0228797942623064, 0.0035650058143008, 0.0137674249055811, 0.0154473349962929, -0.0218808043539587, 0.0695680567613823, 0.0407517127364287, 0.0407517127364287, 0.0407517127364287, 0.0449023853021603, 0.0246400859359173, 0.0516483618295512, -0.0260825645556668, 0.0042686806605366, 0.0042686806605366, 0.0087919909977579, 0.0087919909977579, -0.0185340837935022, -0.0104838257233194]",0.35585372595265863,0.19148116813015462,0.260801301286213
102,able,[0.0367181827896274],[-0.0238297942272391],-1.0,,
103,about,"[0.0459614194660389, 0.0292161460893112, 0.0649030471977312]","[0.037832842494245, 0.0582174693005264, -0.0016458245717839]",0.5664188357559773,-0.9892743827578725,0.46062014569735765
104,academics,[0.0838073894265107],[-0.0179126008461801],-1.0,,
105,accent,[0.2480213458184152],[-0.1018290235279927],-1.0,,
106,accept,[-0.0503486630262895],[-0.0294078970235456],1.0,,
107,across,"[-0.0285445015178993, -0.0105787597130984]","[0.0262919905333302, 0.0180371772236035]",-0.9698021893326434,-1.0,0.5196754645000777
108,act,[-0.0247248369269073],[-0.0462389525065218],1.0,,
109,adorable,[0.0467382732313126],[0.1577648539349052],1.0,,0.0
110,advantage,[0.0070200063055381],[-0.0001782683704568],-1.0,,
111,adventures,[-0.0392366659361869],[0.0318527126956773],-1.0,,
112,african,[0.0318057002150453],[-0.0095530834908461],-1.0,,
113,after,[-0.0383856144268065],[-0.0209904342711781],1.0,,
114,airport,"[-0.2060217867256142, -0.112341966421809]","[-0.0005372265519551, 0.0378632225376237]",-0.46623802587521906,1.0,0.0
115,akward,[-0.0204538591206073],[-0.0080828042877231],1.0,,
116,alcohol,[-0.0850402517244219],[-0.0143390764804331],1.0,,
117,all,"[0.1311094569448161, -0.023171111010015, 0.2909146609308664, 0.0316551118157804, 0.0684519280912354, 0.1051952475681901, 0.021864072070457, 0.1553853945806622, 0.0337547967210412, 0.0285886386409401, 0.1137687999289482, 0.1538388909539207, 0.1491633307887241, 0.0372277766931802, 0.15945426071994]","[0.1253151577100157, -0.0454286584570164, 0.1294441854391897, 0.0654133552948759, 0.0654133552948759, -0.0587567186682942, 0.0058494913372371, 0.0330664944052758, 0.0028986499709342, -0.0054717342211144, -0.0403778324306188, 0.0636431063985531, 0.043662184189082, 0.0558863228854097, 0.0087492270896275]",0.6524812129853662,0.5071881889756629,0.2660560156479841
118,allowed,[0.1086583877331577],[0.0196559986562853],1.0,,0.0
119,almost,[0.0099011628190055],[-0.0331590789590509],-1.0,,
120,always,"[0.0738985333700839, 0.05359886912629, -0.0169926763919647, 0.0422783844405785, -0.0053730560466647, 0.0235000415705144, 0.0224212422035634, -0.0043112314306199, 0.0243933623423799]","[0.0816199101690209, 0.0185868066150044, -0.0579020216689849, 0.0375927129150473, -0.0183854902321864, -0.0719808052985009, -0.0507433247372669, 0.0454906351733061, -0.0013405985251879]",0.40752452463303396,0.5671303555643179,0.30500193239963963
121,am,[-0.0832035348867066],[-0.005514181235888],1.0,,
122,an,"[-0.0001046154648065, 0.0598192747420398, 0.0947879534796811, -0.0619032741524279]","[-0.0602061961720273, 0.0172826128394509, 0.0079454356996387, -0.0452270224006062]",0.46185091869315015,0.8122851660466706,0.3166815322864845
123,and,"[-0.0214994517265863, 0.023138603917323, 0.1015572069866013, -0.0202737469226121, 0.0066743514034897, 0.0834875222717528, 0.0141764816617069, 0.0528330313973128, 0.0021798367379233, 0.027406862587668, 0.0204622379969805, 0.1390432798070833, -0.0257960045710206, 0.0018444689922034, 0.0356765608303248, 0.0037098308093845, 0.0763714844360947, 0.0273939156904816, 0.0264888629317283, -0.0048229470849037, 0.0515233241021633, -0.0029621720314025, 0.0729585653170943, 0.0135422212382157, 0.3225396235939115, 0.1228209605906158, 0.0332995243370533, 0.0747660333290696, 0.1051867874339222, -0.0312289695721119, 0.0752071235328912, 0.0576840781141072, 0.0158822163939476, 0.095623146276921, 0.0533785536885261, -0.0063368339158062, 0.1086565029399935]","[0.0839723145600419, 0.0839723145600419, 0.0839723145600419, 0.032659974463167, 0.032659974463167, 0.0658921485133803, -0.0154006693705657, 0.0424145696154319, 0.0066776130216218, 0.0199519958526241, 0.0152350503827962, -0.0329937033544827, -0.0329937033544827, -0.0562713370903681, -0.0131364914629987, 0.0250938484785227, 0.0250938484785227, 0.0444694107813932, -0.034095801222428, -0.0165560421510265, 0.0084986265925372, 0.0180516934666347, 0.0190947756013103, -0.0031525434710747, -0.0292177502556094, -0.0251449540897666, 0.0032114106929445, 0.00712350485977, 0.0317813742246128, -0.0343576359853674, 0.0821161266966259, 0.0821161266966259, 0.044907017778821, 0.0197279829664465, 0.0090120189709272, 0.0090120189709272, 0.0423009160829373]",0.22856915577477238,-0.030872280699191738,0.3131544191083243
124,anywhere,[-0.0095000737346708],[-0.0369018414094424],1.0,,
125,appeal,[-0.0355913540697656],[0.0477309542610229],-1.0,,
126,appeasing,[-0.0327512085204944],[-0.0296267348862614],1.0,,
127,arab,"[-0.0009735632920637, 0.1636301539838314]","[0.1917973440533558, 0.1606425265746652]",0.6375239254193967,-1.0,0.4906304785187032
128,arabia,[-0.04688529719715],[0.0178602520552271],-1.0,,
129,are,"[-0.1728913686238229, -0.0165038048289716, -0.0528997620567679, -0.0686053507961332, 0.018993804231286, -0.0346915505360811, -0.1262801527045667, -0.0095480667660012, -0.0970632896896859, 0.0427010152488946, -0.0141377294203266, -0.1732190800830721, -0.127033679629676, -0.1454485706053674, -0.0454551650909706, -0.0098597457981668, 0.0340529438108205, 0.0082487051840871, -0.005191121250391, -0.0341815687716007, 0.031102750217542, -0.0080423802137374, -0.0617302779573947, -0.0979795791208744, -0.0300333686172962, 0.032914321636781, -0.0013013947755098, -0.0548498318530619, -0.0186909160111099, 0.0493804889265447, 0.064131940016523, -0.0257460852153599, -0.1820949343964457, 0.0496326826978474, -0.0020177251426503, 0.0287105327006429, -0.0104533140547573, -0.0212851203978061, 0.0439346567727625, -0.0173113814089447, 0.0233132923021912, 0.0610745940357446, -0.0401260056532919, -0.0171116612036712, 0.0610790383070707, -0.0196960717439651, -0.0579922565375454, -0.1572998091578483, 0.0180173888802528, 0.0163882970809936, 0.0931674744933843, -0.012025257339701, -0.071266827173531, -0.0781494493130594, -0.0398535709828138, 0.0093563171103596, -0.0906178043223917, 0.047554825694533, -0.0094314685557037, 0.0065563167445361, -0.119443598203361, -0.0125017645186744, -0.0454175533959642]","[-0.0277319444009149, -0.0027920705991548, -0.015955357681933, -0.0622063847163368, 0.0002423492453458, -0.0135250297531338, -0.0226433162309974, -0.0226433162309974, 0.0108627518970027, 0.0122177420094043, -0.0133885710621315, 0.0335984343503589, -0.0796991452516878, -0.0656138453611432, 0.0011038610521246, 0.0251332641180632, -0.056043383012753, -0.056043383012753, 0.0436559930770691, -0.0101857223488079, -0.0101857223488079, 0.0333122763182555, 0.0043696316995301, -0.0020766862090761, 0.0104126196503769, -0.0359612957858416, -0.0525809180150723, -0.0525809180150723, -0.011262026296038, -0.0302177772172808, -0.1511173775979384, -0.0095974951227467, 0.051676935567011, -0.0409945078976008, -0.0105099620140857, -0.0324890092823126, -0.0324890092823126, -0.072705320097223, 0.028375963849429, -0.0264251136131289, -0.0198342124851548, -0.0617230431296474, -0.0617230431296474, 0.0211560521149368, 0.0291804452641901, -0.0084482759543287, -0.0275032740176112, -0.0022294082110313, -0.0473280461892017, 0.0308558205716233, -0.1198123511136422, -0.1198123511136422, 0.1448045990514128, -0.017112479170369, 0.0074840527345661, -0.0210675210073602, -0.0135111395697044, 0.0015257642992886, 0.0015257642992886, 0.0145478881141857, -0.017555861972046, -0.0436216017474772, 0.0253269309397995]",-0.04511946151625748,-0.21866225773343753,0.2364917076176511
130,around,"[0.0497685685986653, -0.0236437753774225]","[-0.0089051678419431, 0.0455386296452004]",-0.5944841946032187,-1.0,0.8325546111576977
131,articulate,[-0.0674620163626968],[-0.0239770490328875],1.0,,
132,as,"[-0.0060770204290747, 0.0139185466105118, -0.006153171416372, -0.0061874331440776, -0.0050022682589769, -0.0650799795985221, 0.0125207267701625, 0.0031737437057017]","[-0.0536823204682665, 0.0113707959951347, 0.0010664724132632, -0.0788906649909448, -0.0145562497219216, -0.0284137325826488, -0.0284137325826488, 0.0190914565787947]",0.3525311563027771,0.22986133059884062,0.3133970267947183
133,asians,[0.0625352312345057],[0.0155552725360095],1.0,,0.0
134,at,"[0.0541860493249259, -0.0081947227736236, 0.0542216112371534, 0.1379059688624693, 0.0033693523146212, 0.0820937864482402, -7.135141640901566e-05, -0.0462487941258586]","[-0.0046408564415053, -0.0371846182447214, -0.0246599358496833, 0.0349135186437633, 0.0089349977233367, 0.0170887517877011, -0.0231076114652376, -0.0031960007830781]",0.4315559962322454,0.6297638338964346,0.3021807612159071
135,athletes,[0.0404639806365594],[-0.0036577723148016],-1.0,,
136,attacks,[0.0248154448345303],[-0.01872771120034],-1.0,,
137,attention,[0.0607727282331325],[0.0652331730119689],1.0,,0.0
138,automobiles,[0.0250915952256036],[0.0860785575594125],1.0,,0.0
139,automotive,[-0.0204106621094979],[0.0117102347816217],-1.0,,
140,backseat,[-0.0186969085625605],[-0.0260668196459973],1.0,,
141,backward,[0.309190634638071],[0.1072259885271589],1.0,,0.0
142,backwards,[0.1229519234038889],[0.0082355689303715],1.0,,0.0
143,banks,[0.0227264617569744],[0.0032080865861256],1.0,,0.0
144,bar,"[-0.0659232662874274, -0.0095216691697714]","[0.0444769063198335, 0.017527975407932]",-0.9732179327500403,-1.0,0.5957387428438174
145,be,"[-0.0030889217741787, -0.0052288649603724, 3.1752162612974644e-05, -0.0204800930223427, -0.0118325748480856, -0.0004234355874359, 0.0230674243066459, -0.0072101454716175, 0.0123664857819676, 0.0914144677808508, 0.0148697661352343, -0.0291418000124394, -0.0041892260851454, 0.0115192737430334, -0.0328852891980204, 0.0762563102471176]","[-0.0411194472578656, 0.0123432146234878, 0.0212904720700618, -0.0312742762602743, -0.0360588543971978, -0.0552989447293666, 0.0128787700109908, -0.0397802191494241, 0.017482234700433, 0.0237627426993767, 0.0258858763800064, 0.018393657040955, -0.016022667883694, 0.0151452744933861, -0.0220611055086937, -0.0220611055086937]",0.2165987437833885,0.28859778619853793,0.31725425172546357
146,beautiful,[0.1262502465469879],[0.0674068481192932],1.0,,0.0
147,because,"[0.0663567911833524, 0.0072342623025178, -0.0552077880129218, -0.0112744714133441, 0.0262930031167343, 0.160757059144089]","[0.0574205525817983, -0.0249448913905903, 0.0110938128424207, -0.0054517258522675, -0.0133600053401599, 0.015677313531722]",0.42339946765598785,0.36299293060003485,0.38655059460579155
148,been,"[0.0866088307229802, 0.0061453173402696]","[0.0106459845806916, 0.0064284481381968]",0.8904785624669725,1.0,0.2748846550642778
149,behind,[0.0935182602279383],[0.0299369967132646],1.0,,0.0
150,being,[0.0299540562555193],[-0.0309299814500754],-1.0,,
151,belief,[-0.0386878889985382],[-0.0084194743041444],1.0,,
152,believe,[0.0618927150499075],[0.056321683717472],1.0,,0.0
153,believed,"[0.0324059603735804, 0.0176872247830033]","[-0.0276413580805588, 0.000350591855106]",-0.8716208290998351,-1.0,0.5520683759542564
154,best,[0.0009009747009258],[0.0231194968748741],1.0,,0.0
